province_code,province_name,district_code,district_name
1,Koshi,1,Taplejung
1,Koshi,2,Sankhuwasabha
1,Koshi,3,Solukhumbu
1,Koshi,4,Okhaldhunga
1,Koshi,5,Khotang
1,Koshi,6,Bhojpur
1,Koshi,7,Dhankuta
1,Koshi,8,Terhathum
1,Koshi,9,Panchthar
1,Koshi,10,Ilam
1,Koshi,11,Jhapa
1,Koshi,12,Morang
1,Koshi,13,Sunsari
1,Koshi,14,Udayapur
2,Madhesh,15,Saptari
2,Madhesh,16,Siraha
2,Madhesh,17,Dhanusa
2,Madhesh,18,Mahottari
2,Madhesh,19,Sarlahi
2,Madhesh,20,Rautahat
2,Madhesh,21,Bara
2,Madhesh,22,Parsa
3,Bagmati,23,Dolakha
3,Bagmati,24,Sindhupalchok
3,Bagmati,25,Rasuwa
3,Bagmati,26,Dhading
3,Bagmati,27,Nuwakot
3,Bagmati,28,Kathmandu
3,Bagmati,29,Bhaktapur
3,Bagmati,30,Lalitpur
3,Bagmati,31,Kavrepalanchok
3,Bagmati,32,Ramechhap
3,Bagmati,33,Sindhuli
3,Bagmati,34,Makwanpur
3,Bagmati,35,Chitawan
4,Gandaki,36,Gorkha
4,Gandaki,37,Manang
4,Gandaki,38,Mustang
4,Gandaki,39,Myagdi
4,Gandaki,40,Kaski
4,Gandaki,41,Lamjung
4,Gandaki,42,Tanahu
4,Gandaki,43,Nawalparasi (Bardaghat Susta East)
4,Gandaki,44,Syangja
4,Gandaki,45,Parbat
4,Gandaki,46,Baglung
5,Lumbini,47,Rukum (East)
5,Lumbini,48,Rolpa
5,Lumbini,49,Pyuthan
5,Lumbini,50,Gulmi
5,Lumbini,51,Arghakhanchi
5,Lumbini,52,Palpa
5,Lumbini,53,Nawalparasi (Bardaghat Susta West)
5,Lumbini,54,Rupandehi
5,Lumbini,55,Kapilbastu
5,Lumbini,56,Dang
5,Lumbini,57,Banke
5,Lumbini,58,Bardiya
6,Karnali,59,Dolpa
6,Karnali,60,Mugu
6,Karnali,61,Humla
6,Karnali,62,Jumla
6,Karnali,63,Kalikot
6,Karnali,64,Dailekh
6,Karnali,65,Jajarkot
6,Karnali,66,Rukum (West)
6,Karnali,67,Salyan
6,Karnali,68,Surkhet
7,Sudurpashchim,69,Bajura
7,Sudurpashchim,70,Bajhang
7,Sudurpashchim,71,Darchula
7,Sudurpashchim,72,Baitadi
7,Sudurpashchim,73,Dadeldhura
7,Sudurpashchim,74,Doti
7,Sudurpashchim,75,Achham
7,Sudurpashchim,76,Kailali
7,Sudurpashchim,77,Kanchanpur
