province_code,province_name,district_code,district_name,ecological_belt
1,Koshi,1,Taplejung,Mountain
1,Koshi,2,Sankhuwasabha,Mountain
1,Koshi,3,Solukhumbu,Mountain
1,Koshi,4,Okhaldhunga,Hill
1,Koshi,5,Khotang,Hill
1,Koshi,6,Bhojpur,Hill
1,Koshi,7,Dhankuta,Hill
1,Koshi,8,Terhathum,Hill
1,Koshi,9,Panchthar,Hill
1,Koshi,10,Ilam,Hill
1,Koshi,11,Jhapa,Terai
1,Koshi,12,Morang,Terai
1,Koshi,13,Sunsari,Terai
1,Koshi,14,Udayapur,Hill
2,Madhesh,15,Saptari,Terai
2,Madhesh,16,Siraha,Terai
2,Madhesh,17,Dhanusa,Terai
2,Madhesh,18,Mahottari,Terai
2,Madhesh,19,Sarlahi,Terai
2,Madhesh,20,Rautahat,Terai
2,Madhesh,21,Bara,Terai
2,Madhesh,22,Parsa,Terai
3,Bagmati,23,Dolakha,Hill
3,Bagmati,24,Sindhupalchok,Hill
3,Bagmati,25,Rasuwa,Mountain
3,Bagmati,26,Dhading,Hill
3,Bagmati,27,Nuwakot,Hill
3,Bagmati,28,Kathmandu,Hill
3,Bagmati,29,Bhaktapur,Hill
3,Bagmati,30,Lalitpur,Hill
3,Bagmati,31,Kavrepalanchok,Hill
3,Bagmati,32,Ramechhap,Hill
3,Bagmati,33,Sindhuli,Hill
3,Bagmati,34,Makwanpur,Hill
3,Bagmati,35,Chitawan,Hill
4,Gandaki,36,Gorkha,Mountain
4,Gandaki,37,Manang,Mountain
4,Gandaki,38,Mustang,Mountain
4,Gandaki,39,Myagdi,Hill
4,Gandaki,40,Kaski,Hill
4,Gandaki,41,Lamjung,Mountain
4,Gandaki,42,Tanahu,Hill
4,Gandaki,43,Nawalparasi (Bardaghat Susta East),Terai
4,Gandaki,44,Syangja,Hill
4,Gandaki,45,Parbat,Hill
4,Gandaki,46,Baglung,Hill
5,Lumbini,47,Rukum (East),Hill
5,Lumbini,48,Rolpa,Hill
5,Lumbini,49,Pyuthan,Hill
5,Lumbini,50,Gulmi,Hill
5,Lumbini,51,Arghakhanchi,Hill
5,Lumbini,52,Palpa,Hill
5,Lumbini,53,Nawalparasi (Bardaghat Susta West),Terai
5,Lumbini,54,Rupandehi,Terai
5,Lumbini,55,Kapilbastu,Terai
5,Lumbini,56,Dang,Terai
5,Lumbini,57,Banke,Terai
5,Lumbini,58,Bardiya,Terai
6,Karnali,59,Dolpa,Mountain
6,Karnali,60,Mugu,Mountain
6,Karnali,61,Humla,Mountain
6,Karnali,62,Jumla,Mountain
6,Karnali,63,Kalikot,Mountain
6,Karnali,64,Dailekh,Hill
6,Karnali,65,Jajarkot,Hill
6,Karnali,66,Rukum (West),Hill
6,Karnali,67,Salyan,Hill
6,Karnali,68,Surkhet,Hill
7,Sudurpashchim,69,Bajura,Mountain
7,Sudurpashchim,70,Bajhang,Mountain
7,Sudurpashchim,71,Darchula,Mountain
7,Sudurpashchim,72,Baitadi,Hill
7,Sudurpashchim,73,Dadeldhura,Hill
7,Sudurpashchim,74,Doti,Hill
7,Sudurpashchim,75,Achham,Hill
7,Sudurpashchim,76,Kailali,Terai
7,Sudurpashchim,77,Kanchanpur,Terai
