geo_level,province,district,sex,age_group,rowtotal,a_readwrite,b_readonly,c_noreadwrite,d_notstd,literacy_rate,literacy_rate_male,literacy_rate_female,literacy_rate_gap_pts
national,Nepal,,Total,Total,26725295,20377980,114331,6223061,9923,76.25,83.55,69.37,14.18
national,Nepal,,Total,05 Year,568365,465615,7990,91618,3142,81.92,82.01,81.82,0.19
national,Nepal,,Total,06 Year,562745,499890,6313,55555,987,88.83,89.0,88.65,0.35
national,Nepal,,Total,07 Year,534278,494401,4245,35157,475,92.54,92.73,92.33,0.4
national,Nepal,,Total,08 Year,599728,560722,3287,35365,354,93.5,93.73,93.24,0.49
national,Nepal,,Total,09 Year,501311,482323,1594,17166,228,96.21,96.38,96.03,0.35
national,Nepal,,Total,10 Year,646772,616198,843,29584,147,95.27,95.48,95.04,0.44
national,Nepal,,Total,11 Year,475016,463365,298,11247,106,97.55,97.68,97.41,0.27
national,Nepal,,Total,12 Year,638817,614104,389,24193,131,96.13,96.36,95.88,0.48
national,Nepal,,Total,13 Year,556890,541018,253,15524,95,97.15,97.37,96.92,0.45
national,Nepal,,Total,14 Year,592370,573167,234,18881,88,96.76,97.09,96.42,0.67
national,Nepal,,Total,15 Year,607128,582538,241,24259,90,95.95,96.32,95.57,0.75
national,Nepal,,Total,16 - 19 Years,2359276,2246160,1102,111606,408,95.21,95.82,94.58,1.24
national,Nepal,,Total,20 - 24 Years,2783060,2564877,2034,215568,581,92.16,94.31,90.27,4.04
national,Nepal,,Total,25 - 29 Years,2459349,2159437,3587,295832,493,87.81,92.02,84.27,7.75
national,Nepal,,Total,30 - 34 Years,2147712,1757013,5918,384504,277,81.81,89.21,75.61,13.6
national,Nepal,,Total,35 - 39 Years,2041492,1521409,9073,510780,230,74.52,85.23,65.44,19.79
national,Nepal,,Total,40 - 44 Years,1747832,1198188,10381,539039,224,68.55,81.01,57.33,23.68
national,Nepal,,Total,45 - 49 Years,1436040,873772,10205,551847,216,60.85,76.19,46.75,29.44
national,Nepal,,Total,50 - 54 Years,1413852,753958,11773,647883,238,53.33,70.43,36.91,33.52
national,Nepal,,Total,55 - 59 Years,1075944,487507,9663,578571,203,45.31,62.85,27.8,35.05
national,Nepal,,Total,60 - 64 Years,955604,362880,8456,584005,263,37.97,55.73,21.07,34.66
national,Nepal,,Total,65 - 69 Years,771618,257075,6265,508009,269,33.32,50.67,16.5,34.17
national,Nepal,,Total,70 - 74 Years,609370,160392,4575,444119,284,26.32,42.71,11.24,31.47
national,Nepal,,Total,75+ Years,640726,141971,5612,492749,394,22.16,37.05,8.53,28.52
national,Nepal,,Male,Total,12963026,10830886,43921,2083529,4690,83.55,83.55,69.37,14.18
national,Nepal,,Male,05 Year,299149,245332,4321,47865,1631,82.01,82.01,81.82,0.19
national,Nepal,,Male,06 Year,294386,261992,3284,28595,515,89.0,89.0,88.65,0.35
national,Nepal,,Male,07 Year,276257,256169,2219,17605,264,92.73,92.73,92.33,0.4
national,Nepal,,Male,08 Year,313330,293689,1747,17723,171,93.73,93.73,93.24,0.49
national,Nepal,,Male,09 Year,260283,250858,825,8481,119,96.38,96.38,96.03,0.35
national,Nepal,,Male,10 Year,338785,323486,457,14764,78,95.48,95.48,95.04,0.44
national,Nepal,,Male,11 Year,246281,240561,160,5493,67,97.68,97.68,97.41,0.27
national,Nepal,,Male,12 Year,330149,318148,191,11738,72,96.36,96.36,95.88,0.48
national,Nepal,,Male,13 Year,281718,274316,120,7226,56,97.37,97.37,96.92,0.45
national,Nepal,,Male,14 Year,299021,290309,118,8554,40,97.09,97.09,96.42,0.67
national,Nepal,,Male,15 Year,305750,294505,114,11086,45,96.32,96.32,95.57,0.75
national,Nepal,,Male,16 - 19 Years,1188773,1139117,525,48932,199,95.82,95.82,94.58,1.24
national,Nepal,,Male,20 - 24 Years,1301018,1227012,771,72964,271,94.31,94.31,90.27,4.04
national,Nepal,,Male,25 - 29 Years,1122242,1032649,1071,88287,235,92.02,92.02,84.27,7.75
national,Nepal,,Male,30 - 34 Years,978976,873356,1599,103895,126,89.21,89.21,75.61,13.6
national,Nepal,,Male,35 - 39 Years,936931,798578,2280,135985,88,85.23,85.23,65.44,19.79
