geo_level,province,district,sex,age_group,rowtotal,a_earlyedu,b_primary,c_lowrsecndry,d_upprsecndry,e_slc,f_inter,g_graduat,h_pgraduat,i_other,j_nolevel,k_notstd,no_education_rate,secondary_plus_rate,no_education_rate_male,secondary_plus_rate_male,no_education_rate_female,secondary_plus_rate_female,no_education_rate_gap_pts,secondary_plus_rate_gap_pts
national,Nepal,,Total,Total,20408124,896546,5855732,4071331,3148180,1939631,2600903,930176,441585,17761,357592,148687,1.75,44.4,1.16,29.31,2.43,28.58,-1.27,0.73
national,Nepal,,Total,05 Year,487656,481868,0,0,0,0,0,0,0,39,586,5163,0.12,0.0,0.11,0.0,0.13,0.0,-0.02,0.0
national,Nepal,,Total,06 Year,515215,221996,290146,0,0,0,0,0,0,41,518,2514,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0
national,Nepal,,Total,07 Year,503847,99243,402503,0,0,0,0,0,0,32,456,1613,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0
national,Nepal,,Total,08 Year,567433,45905,519255,0,0,0,0,0,0,41,595,1637,0.1,0.0,0.1,0.0,0.11,0.0,-0.01,0.0
national,Nepal,,Total,09 Year,485159,15251,467912,0,0,0,0,0,0,26,401,1569,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.0
national,Nepal,,Total,10 Year,617360,7780,607495,0,0,0,0,0,0,51,633,1401,0.1,0.0,0.12,0.0,0.09,0.0,0.03,0.0
national,Nepal,,Total,11 Year,463222,2233,341834,117888,0,0,0,0,0,60,407,800,0.09,0.0,0.11,0.0,0.06,0.0,0.05,0.0
national,Nepal,,Total,12 Year,613979,1915,293450,316920,0,0,0,0,0,62,667,965,0.11,0.0,0.13,0.0,0.09,0.0,0.04,0.0
national,Nepal,,Total,13 Year,540957,951,140018,398523,0,0,0,0,0,70,554,841,0.1,0.0,0.13,0.0,0.07,0.0,0.06,0.0
national,Nepal,,Total,14 Year,573226,821,85564,371650,113579,0,0,0,0,70,688,854,0.12,19.81,0.14,0.0,0.1,0.0,0.04,0.0
national,Nepal,,Total,15 Year,582578,620,38000,269789,224564,45328,0,0,0,105,945,3227,0.16,46.33,0.18,6.88,0.14,8.7,0.04,-1.82
national,Nepal,,Total,16 - 19 Years,2246464,1420,144383,441978,629879,600742,401978,15519,0,593,3862,6110,0.17,73.36,0.17,43.29,0.18,47.42,-0.01,-4.13
national,Nepal,,Total,20 - 24 Years,2564821,1485,230685,403765,482864,327378,864513,211063,25251,1237,8512,8068,0.33,74.51,0.27,56.22,0.39,55.19,-0.12,1.03
national,Nepal,,Total,25 - 29 Years,2158853,1811,284081,379677,441566,232488,473039,235087,87353,1185,13459,9107,0.62,68.07,0.42,48.82,0.81,46.51,-0.39,2.31
national,Nepal,,Total,30 - 34 Years,1755801,1601,330680,335448,287764,181829,322195,162388,99921,1279,22854,9842,1.3,60.04,0.65,45.45,1.94,41.87,-1.29,3.58
national,Nepal,,Total,35 - 39 Years,1519871,1780,354708,317954,277168,156766,186614,97200,76713,1603,36801,12564,2.42,52.27,1.04,36.76,3.95,31.02,-2.91,5.74
national,Nepal,,Total,40 - 44 Years,1196638,1852,307926,238350,223595,128183,123822,63509,51006,1798,43238,13359,3.61,49.31,1.51,33.99,6.29,26.35,-4.78,7.64
national,Nepal,,Total,45 - 49 Years,871784,1664,247510,156594,161491,88943,80722,44838,33629,1748,42134,12511,4.83,46.99,2.04,32.27,9.02,22.76,-6.98,9.51
national,Nepal,,Total,50 - 54 Years,751474,1735,235378,124103,125563,73018,64225,38471,26496,1962,47120,13403,6.27,43.62,2.7,30.8,12.81,19.77,-10.11,11.03
national,Nepal,,Total,55 - 59 Years,484748,1301,170493,72393,73796,42495,35383,22961,15302,1581,37673,11370,7.77,39.18,3.76,27.23,16.85,16.54,-13.09,10.69
national,Nepal,,Total,60 - 64 Years,359425,1181,141222,50663,45896,27243,22031,16391,10760,1351,32622,10065,9.08,34.03,5.13,24.01,19.07,14.31,-13.94,9.7
national,Nepal,,Total,65 - 69 Years,253727,887,103468,36700,30234,17839,13365,11251,7512,1011,23710,7750,9.34,31.61,6.04,21.49,19.31,14.27,-13.27,7.22
national,Nepal,,Total,70 - 74 Years,157378,588,65067,22238,17446,10122,7473,6589,4155,716,17131,5853,10.89,29.09,8.34,19.27,20.04,13.48,-11.7,5.79
national,Nepal,,Total,75+ Years,136508,658,53954,16698,12775,7257,5543,4909,3487,1100,22026,8101,16.14,24.89,15.07,16.2,20.55,12.75,-5.48,3.45
national,Nepal,,Male,Total,10845300,483824,3118550,2187299,1678156,1048920,1333878,515103,281378,7332,125330,65530,1.16,44.79,1.16,29.31,2.43,28.58,-1.27,0.73
national,Nepal,,Male,05 Year,257100,254099,0,0,0,0,0,0,0,20,294,2687,0.11,0.0,0.11,0.0,0.13,0.0,-0.02,0.0
national,Nepal,,Male,06 Year,270112,122412,146128,0,0,0,0,0,0,22,266,1284,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0
national,Nepal,,Male,07 Year,261202,56387,203723,0,0,0,0,0,0,19,226,847,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0
national,Nepal,,Male,08 Year,297243,26756,269353,0,0,0,0,0,0,24,305,805,0.1,0.0,0.1,0.0,0.11,0.0,-0.01,0.0
national,Nepal,,Male,09 Year,252408,8778,242593,0,0,0,0,0,0,9,213,815,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.0
national,Nepal,,Male,10 Year,324181,4451,318582,0,0,0,0,0,0,31,376,741,0.12,0.0,0.12,0.0,0.09,0.0,0.03,0.0
national,Nepal,,Male,11 Year,240510,1295,181382,57093,0,0,0,0,0,41,268,431,0.11,0.0,0.11,0.0,0.06,0.0,0.05,0.0
national,Nepal,,Male,12 Year,318063,1041,159237,156818,0,0,0,0,0,40,403,524,0.13,0.0,0.13,0.0,0.09,0.0,0.04,0.0
national,Nepal,,Male,13 Year,274322,526,75618,197366,0,0,0,0,0,43,355,414,0.13,0.0,0.13,0.0,0.07,0.0,0.06,0.0
national,Nepal,,Male,14 Year,290319,450,46156,190635,52204,0,0,0,0,50,406,418,0.14,17.98,0.14,0.0,0.1,0.0,0.04,0.0
national,Nepal,,Male,15 Year,294496,310,20674,142803,108185,20267,0,0,0,74,529,1654,0.18,43.62,0.18,6.88,0.14,8.7,0.04,-1.82
national,Nepal,,Male,16 - 19 Years,1139242,712,77908,240462,321596,295526,190884,6767,0,331,1902,3154,0.17,71.52,0.17,43.29,0.18,47.42,-0.01,-4.13
national,Nepal,,Male,20 - 24 Years,1226930,581,110973,200609,217294,166286,413689,97967,11894,554,3336,3747,0.27,73.93,0.27,56.22,0.39,55.19,-0.12,1.03
national,Nepal,,Male,25 - 29 Years,1032353,720,129652,186790,202473,117029,225566,117114,44317,511,4371,3810,0.42,68.44,0.42,48.82,0.81,46.51,-0.39,2.31
national,Nepal,,Male,30 - 34 Years,872743,579,149942,170922,144751,94833,160396,84766,56630,550,5706,3668,0.65,62.03,0.65,45.45,1.94,41.87,-1.29,3.58
national,Nepal,,Male,35 - 39 Years,797578,617,167505,171690,151381,87805,101567,55053,48779,519,8269,4393,1.04,55.74,1.04,36.76,3.95,31.02,-2.91,5.74
national,Nepal,,Male,40 - 44 Years,670060,634,155875,136773,133745,75617,74602,40902,36640,541,10123,4608,1.51,53.95,1.51,33.99,6.29,26.35,-4.78,7.64
national,Nepal,,Male,45 - 49 Years,522729,580,133304,97273,107316,57198,53502,31662,26334,494,10644,4422,2.04,52.8,2.04,32.27,9.02,22.76,-6.98,9.51
national,Nepal,,Male,50 - 54 Years,486219,609,140383,84584,92116,51204,46894,29809,21866,596,13140,5018,2.7,49.75,2.7,30.8,12.81,19.77,-10.11,11.03
national,Nepal,,Male,55 - 59 Years,336311,504,114215,53773,58599,32488,27595,18583,12923,521,12659,4451,3.76,44.66,3.76,27.23,16.85,16.54,-13.09,10.69
national,Nepal,,Male,60 - 64 Years,257636,558,100792,38497,37632,21566,17777,13442,9069,567,13208,4528,5.13,38.61,5.13,24.01,19.07,14.31,-13.94,9.7
national,Nepal,,Male,65 - 69 Years,190489,454,78660,29272,25193,14481,10851,9247,6363,492,11500,3976,6.04,34.72,6.04,21.49,19.31,14.27,-13.27,7.22
national,Nepal,,Male,70 - 74 Years,123106,346,51845,18217,14827,8498,6107,5545,3569,449,10263,3440,8.34,31.31,8.34,19.27,20.04,13.48,-11.7,5.79
national,Nepal,,Male,75+ Years,109948,425,44050,13722,10844,6122,4448,4246,2994,834,16568,5695,15.07,26.06,15.07,16.2,20.55,12.75,-5.48,3.45
national,Nepal,,Female,Total,9562824,412722,2737182,1884032,1470024,890711,1267025,415073,160207,10429,232262,83157,2.43,43.95,1.16,29.31,2.43,28.58,-1.27,0.73
national,Nepal,,Female,05 Year,230556,227769,0,0,0,0,0,0,0,19,292,2476,0.13,0.0,0.11,0.0,0.13,0.0,-0.02,0.0
national,Nepal,,Female,06 Year,245103,99584,144018,0,0,0,0,0,0,19,252,1230,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0
national,Nepal,,Female,07 Year,242645,42856,198780,0,0,0,0,0,0,13,230,766,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0
national,Nepal,,Female,08 Year,270190,19149,249902,0,0,0,0,0,0,17,290,832,0.11,0.0,0.1,0.0,0.11,0.0,-0.01,0.0
national,Nepal,,Female,09 Year,232751,6473,225319,0,0,0,0,0,0,17,188,754,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.0
national,Nepal,,Female,10 Year,293179,3329,288913,0,0,0,0,0,0,20,257,660,0.09,0.0,0.12,0.0,0.09,0.0,0.03,0.0
national,Nepal,,Female,11 Year,222712,938,160452,60795,0,0,0,0,0,19,139,369,0.06,0.0,0.11,0.0,0.06,0.0,0.05,0.0
national,Nepal,,Female,12 Year,295916,874,134213,160102,0,0,0,0,0,22,264,441,0.09,0.0,0.13,0.0,0.09,0.0,0.04,0.0
national,Nepal,,Female,13 Year,266635,425,64400,201157,0,0,0,0,0,27,199,427,0.07,0.0,0.13,0.0,0.07,0.0,0.06,0.0
national,Nepal,,Female,14 Year,282907,371,39408,181015,61375,0,0,0,0,20,282,436,0.1,21.69,0.14,0.0,0.1,0.0,0.04,0.0
national,Nepal,,Female,15 Year,288082,310,17326,126986,116379,25061,0,0,0,31,416,1573,0.14,49.1,0.18,6.88,0.14,8.7,0.04,-1.82
national,Nepal,,Female,16 - 19 Years,1107222,708,66475,201516,308283,305216,211094,8752,0,262,1960,2956,0.18,75.26,0.17,43.29,0.18,47.42,-0.01,-4.13
national,Nepal,,Female,20 - 24 Years,1337891,904,119712,203156,265570,161092,450824,113096,13357,683,5176,4321,0.39,75.04,0.27,56.22,0.39,55.19,-0.12,1.03
national,Nepal,,Female,25 - 29 Years,1126500,1091,154429,192887,239093,115459,247473,117973,43036,674,9088,5297,0.81,67.73,0.42,48.82,0.81,46.51,-0.39,2.31
national,Nepal,,Female,30 - 34 Years,883058,1022,180738,164526,143013,86996,161799,77622,43291,729,17148,6174,1.94,58.06,0.65,45.45,1.94,41.87,-1.29,3.58
national,Nepal,,Female,35 - 39 Years,722293,1163,187203,146264,125787,68961,85047,42147,27934,1084,28532,8171,3.95,48.44,1.04,36.76,3.95,31.02,-2.91,5.74
national,Nepal,,Female,40 - 44 Years,526578,1218,152051,101577,89850,52566,49220,22607,14366,1257,33115,8751,6.29,43.41,1.51,33.99,6.29,26.35,-4.78,7.64
national,Nepal,,Female,45 - 49 Years,349055,1084,114206,59321,54175,31745,27220,13176,7295,1254,31490,8089,9.02,38.28,2.04,32.27,9.02,22.76,-6.98,9.51
national,Nepal,,Female,50 - 54 Years,265255,1126,94995,39519,33447,21814,17331,8662,4630,1366,33980,8385,12.81,32.38,2.7,30.8,12.81,19.77,-10.11,11.03
national,Nepal,,Female,55 - 59 Years,148437,797,56278,18620,15197,10007,7788,4378,2379,1060,25014,6919,16.85,26.78,3.76,27.23,16.85,16.54,-13.09,10.69
national,Nepal,,Female,60 - 64 Years,101789,623,40430,12166,8264,5677,4254,2949,1691,784,19414,5537,19.07,22.43,5.13,24.01,19.07,14.31,-13.94,9.7
national,Nepal,,Female,65 - 69 Years,63238,433,24808,7428,5041,3358,2514,2004,1149,519,12210,3774,19.31,22.24,6.04,21.49,19.31,14.27,-13.27,7.22
national,Nepal,,Female,70 - 74 Years,34272,242,13222,4021,2619,1624,1366,1044,586,267,6868,2413,20.04,21.12,8.34,19.27,20.04,13.48,-11.7,5.79
national,Nepal,,Female,75+ Years,26560,233,9904,2976,1931,1135,1095,663,493,266,5458,2406,20.55,20.02,15.07,16.2,20.55,12.75,-5.48,3.45
province,Koshi,,Total,Total,3639547,146754,1026122,731423,642212,411343,432029,125482,52070,2583,51905,17624,1.43,45.7,1.1,27.73,1.78,28.4,-0.68,-0.67
province,Koshi,,Total,05 Year,81227,81100,0,0,0,0,0,0,0,1,14,112,0.02,0.0,0.01,0.0,0.02,0.0,-0.01,0.0
province,Koshi,,Total,06 Year,85954,38480,47404,0,0,0,0,0,0,1,25,44,0.03,0.0,0.04,0.0,0.02,0.0,0.02,0.0
province,Koshi,,Total,07 Year,87756,15917,71804,0,0,0,0,0,0,0,14,21,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0
province,Koshi,,Total,08 Year,92358,5395,86901,0,0,0,0,0,0,8,26,28,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0
province,Koshi,,Total,09 Year,84207,1591,82554,0,0,0,0,0,0,0,21,41,0.02,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Total,10 Year,94490,594,93842,0,0,0,0,0,0,10,22,22,0.02,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Total,11 Year,78451,194,57056,21170,0,0,0,0,0,1,15,15,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0
province,Koshi,,Total,12 Year,93433,188,40049,53146,0,0,0,0,0,7,25,18,0.03,0.0,0.04,0.0,0.01,0.0,0.03,0.0
province,Koshi,,Total,13 Year,88774,112,18975,69645,0,0,0,0,0,6,23,13,0.03,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Total,14 Year,91778,108,10641,61091,19881,0,0,0,0,7,35,15,0.04,21.66,0.04,0.0,0.03,0.0,0.01,0.0
province,Koshi,,Total,15 Year,94902,39,4073,42071,38885,9091,0,0,0,19,119,605,0.13,50.55,0.14,7.95,0.11,11.23,0.03,-3.28
province,Koshi,,Total,16 - 19 Years,374794,94,20584,67720,102836,113311,66966,2106,0,52,305,820,0.08,76.1,0.08,45.13,0.08,52.27,0.0,-7.14
province,Koshi,,Total,20 - 24 Years,429964,262,36697,70964,88159,64361,137043,27408,2967,115,856,1132,0.2,74.41,0.17,52.82,0.22,54.88,-0.05,-2.06
province,Koshi,,Total,25 - 29 Years,383467,332,45524,70312,96064,53451,74425,30413,10365,148,1336,1097,0.35,69.03,0.28,43.44,0.41,44.45,-0.13,-1.01
province,Koshi,,Total,30 - 34 Years,326299,278,54579,62667,67494,47797,56468,22068,11635,141,2127,1045,0.65,62.97,0.44,42.72,0.85,41.88,-0.41,0.84
province,Koshi,,Total,35 - 39 Years,293772,321,63979,62080,67960,37900,33909,13438,9115,175,3541,1354,1.21,55.25,0.62,34.58,1.8,29.66,-1.18,4.92
province,Koshi,,Total,40 - 44 Years,239819,303,60598,49754,53573,30170,23417,9209,6227,225,4866,1477,2.03,51.12,0.99,32.34,3.23,24.67,-2.24,7.67
province,Koshi,,Total,45 - 49 Years,172786,301,51099,32264,37576,19011,14531,6563,4165,260,5508,1508,3.19,47.37,1.51,29.77,5.51,19.87,-4.0,9.9
province,Koshi,,Total,50 - 54 Years,154944,311,52697,26641,29967,15158,11683,5907,3402,312,7092,1774,4.58,42.67,2.19,27.6,8.65,16.06,-6.46,11.54
province,Koshi,,Total,55 - 59 Years,101103,235,39825,15670,17188,8598,5920,3316,1899,289,6555,1608,6.48,36.52,3.32,23.1,13.3,11.8,-9.98,11.3
province,Koshi,,Total,60 - 64 Years,75911,233,34309,10910,10245,5552,3550,2156,1052,264,6197,1443,8.16,29.71,4.8,19.05,16.46,9.21,-11.66,9.84
province,Koshi,,Total,65 - 69 Years,52843,159,24826,7555,6285,3668,2121,1474,653,197,4762,1143,9.01,26.87,6.08,17.02,17.55,9.02,-11.47,8.0
province,Koshi,,Total,70 - 74 Years,32224,102,15219,4529,3448,1978,1192,822,324,139,3551,920,11.02,24.09,8.77,14.82,19.41,8.06,-10.64,6.76
province,Koshi,,Total,75+ Years,28291,105,12887,3234,2651,1297,804,602,266,206,4870,1369,17.21,19.86,16.27,11.12,21.59,7.61,-5.32,3.51
province,Koshi,,Male,Total,1907614,77531,548097,390895,331337,212838,212209,69761,34238,1196,21017,8495,1.1,45.1,1.1,27.73,1.78,28.4,-0.68,-0.67
province,Koshi,,Male,05 Year,41906,41844,0,0,0,0,0,0,0,1,6,55,0.01,0.0,0.01,0.0,0.02,0.0,-0.01,0.0
province,Koshi,,Male,06 Year,44326,20726,23558,0,0,0,0,0,0,1,18,23,0.04,0.0,0.04,0.0,0.02,0.0,0.02,0.0
province,Koshi,,Male,07 Year,44732,8930,35784,0,0,0,0,0,0,0,10,8,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0
province,Koshi,,Male,08 Year,47416,3089,44293,0,0,0,0,0,0,8,13,13,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0
province,Koshi,,Male,09 Year,42902,886,41981,0,0,0,0,0,0,0,13,22,0.03,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Male,10 Year,48797,330,48437,0,0,0,0,0,0,9,13,8,0.03,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Male,11 Year,40163,110,29940,10090,0,0,0,0,0,1,10,12,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0
province,Koshi,,Male,12 Year,47589,101,21874,25576,0,0,0,0,0,7,20,11,0.04,0.0,0.04,0.0,0.01,0.0,0.03,0.0
province,Koshi,,Male,13 Year,44671,55,10504,34085,0,0,0,0,0,5,14,8,0.03,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Male,14 Year,46112,54,5958,31243,8824,0,0,0,0,7,20,6,0.04,19.14,0.04,0.0,0.03,0.0,0.01,0.0
province,Koshi,,Male,15 Year,47724,18,2475,22754,18288,3794,0,0,0,19,66,310,0.14,46.27,0.14,7.95,0.11,11.23,0.03,-3.28
province,Koshi,,Male,16 - 19 Years,189203,56,12226,38423,52472,54338,30188,854,0,39,149,458,0.08,72.86,0.08,45.13,0.08,52.27,0.0,-7.14
province,Koshi,,Male,20 - 24 Years,202923,101,19287,36671,38709,31266,62473,12061,1378,51,347,579,0.17,71.89,0.17,52.82,0.22,54.88,-0.05,-2.06
province,Koshi,,Male,25 - 29 Years,178202,134,21923,35484,42219,24507,33136,14570,5206,62,498,463,0.28,67.14,0.28,43.44,0.41,44.45,-0.13,-1.01
province,Koshi,,Male,30 - 34 Years,156191,123,25257,31104,31819,22610,26137,11239,6735,68,689,410,0.44,63.09,0.44,42.72,0.85,41.88,-0.41,0.84
province,Koshi,,Male,35 - 39 Years,147069,132,29030,31335,34207,19705,17386,7689,6070,52,907,556,0.62,57.83,0.62,34.58,1.8,29.66,-1.18,4.92
province,Koshi,,Male,40 - 44 Years,128591,124,28919,26590,29453,17146,13604,6180,4656,76,1274,569,0.99,55.24,0.99,32.34,3.23,24.67,-2.24,7.67
province,Koshi,,Male,45 - 49 Years,100308,122,26176,18721,23214,11977,9625,4846,3417,103,1517,590,1.51,52.92,1.51,29.77,5.51,19.87,-4.0,9.9
province,Koshi,,Male,50 - 54 Years,97685,126,29854,17228,20545,10491,8583,4907,2976,104,2139,732,2.19,48.63,2.19,27.6,8.65,16.06,-6.46,11.54
province,Koshi,,Male,55 - 59 Years,69063,105,25545,11262,13121,6593,4727,2911,1721,108,2295,675,3.32,42.1,3.32,23.1,13.3,11.8,-9.98,11.3
province,Koshi,,Male,60 - 64 Years,54029,130,23923,8052,8179,4493,2955,1894,952,136,2595,720,4.8,34.19,4.8,19.05,16.46,9.21,-11.66,9.84
province,Koshi,,Male,65 - 69 Years,39347,94,18453,5884,5095,3053,1735,1317,593,89,2393,641,6.08,29.97,6.08,17.02,17.55,9.02,-11.47,8.0
province,Koshi,,Male,70 - 74 Years,25404,64,12049,3688,2921,1730,997,742,297,88,2227,601,8.77,26.32,8.77,14.82,19.41,8.06,-10.64,6.76
province,Koshi,,Male,75+ Years,23261,77,10651,2705,2271,1135,663,551,237,162,3784,1025,16.27,20.88,16.27,11.12,21.59,7.61,-5.32,3.51
province,Koshi,,Female,Total,1731933,69223,478025,340528,310875,198505,219820,55721,17832,1387,30888,9129,1.78,46.35,1.1,27.73,1.78,28.4,-0.68,-0.67
province,Koshi,,Female,05 Year,39321,39256,0,0,0,0,0,0,0,0,8,57,0.02,0.0,0.01,0.0,0.02,0.0,-0.01,0.0
province,Koshi,,Female,06 Year,41628,17754,23846,0,0,0,0,0,0,0,7,21,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0
province,Koshi,,Female,07 Year,43024,6987,36020,0,0,0,0,0,0,0,4,13,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0
province,Koshi,,Female,08 Year,44942,2306,42608,0,0,0,0,0,0,0,13,15,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0
province,Koshi,,Female,09 Year,41305,705,40573,0,0,0,0,0,0,0,8,19,0.02,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Female,10 Year,45693,264,45405,0,0,0,0,0,0,1,9,14,0.02,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Female,11 Year,38288,84,27116,11080,0,0,0,0,0,0,5,3,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0
province,Koshi,,Female,12 Year,45844,87,18175,27570,0,0,0,0,0,0,5,7,0.01,0.0,0.04,0.0,0.01,0.0,0.03,0.0
province,Koshi,,Female,13 Year,44103,57,8471,35560,0,0,0,0,0,1,9,5,0.02,0.0,0.03,0.0,0.02,0.0,0.01,0.0
province,Koshi,,Female,14 Year,45666,54,4683,29848,11057,0,0,0,0,0,15,9,0.03,24.21,0.04,0.0,0.03,0.0,0.01,0.0
province,Koshi,,Female,15 Year,47178,21,1598,19317,20597,5297,0,0,0,0,53,295,0.11,54.89,0.14,7.95,0.11,11.23,0.03,-3.28
province,Koshi,,Female,16 - 19 Years,185591,38,8358,29297,50364,58973,36778,1252,0,13,156,362,0.08,79.4,0.08,45.13,0.08,52.27,0.0,-7.14
province,Koshi,,Female,20 - 24 Years,227041,161,17410,34293,49450,33095,74570,15347,1589,64,509,553,0.22,76.66,0.17,52.82,0.22,54.88,-0.05,-2.06
province,Koshi,,Female,25 - 29 Years,205265,198,23601,34828,53845,28944,41289,15843,5159,86,838,634,0.41,70.68,0.28,43.44,0.41,44.45,-0.13,-1.01
province,Koshi,,Female,30 - 34 Years,170108,155,29322,31563,35675,25187,30331,10829,4900,73,1438,635,0.85,62.86,0.44,42.72,0.85,41.88,-0.41,0.84
province,Koshi,,Female,35 - 39 Years,146703,189,34949,30745,33753,18195,16523,5749,3045,123,2634,798,1.8,52.67,0.62,34.58,1.8,29.66,-1.18,4.92
province,Koshi,,Female,40 - 44 Years,111228,179,31679,23164,24120,13024,9813,3029,1571,149,3592,908,3.23,46.35,0.99,32.34,3.23,24.67,-2.24,7.67
province,Koshi,,Female,45 - 49 Years,72478,179,24923,13543,14362,7034,4906,1717,748,157,3991,918,5.51,39.69,1.51,29.77,5.51,19.87,-4.0,9.9
province,Koshi,,Female,50 - 54 Years,57259,185,22843,9413,9422,4667,3100,1000,426,208,4953,1042,8.65,32.51,2.19,27.6,8.65,16.06,-6.46,11.54
province,Koshi,,Female,55 - 59 Years,32040,130,14280,4408,4067,2005,1193,405,178,181,4260,933,13.3,24.49,3.32,23.1,13.3,11.8,-9.98,11.3
province,Koshi,,Female,60 - 64 Years,21882,103,10386,2858,2066,1059,595,262,100,128,3602,723,16.46,18.65,4.8,19.05,16.46,9.21,-11.66,9.84
province,Koshi,,Female,65 - 69 Years,13496,65,6373,1671,1190,615,386,157,60,108,2369,502,17.55,17.84,6.08,17.02,17.55,9.02,-11.47,8.0
province,Koshi,,Female,70 - 74 Years,6820,38,3170,841,527,248,195,80,27,51,1324,319,19.41,15.79,8.77,14.82,19.41,8.06,-10.64,6.76
province,Koshi,,Female,75+ Years,5030,28,2236,529,380,162,141,51,29,44,1086,344,21.59,15.17,16.27,11.12,21.59,7.61,-5.32,3.51
district,Koshi,Taplejung,Total,Total,90666,3001,27680,19934,17576,8377,8907,2341,966,50,1295,539,1.43,42.1,1.18,22.18,1.72,23.33,-0.54,-1.15
