geo_level,province,district,sex,age_group,rowtotal,ca_earlychildhood,ca_primary,ca_lowrsecndry,ca_upprsecndry,ca_others,ca_notstd,cna_earlychildhood,cna_primary,cna_lowrsecndry,cna_upprsecndry,cna_others,cna_notstd,neverattnd,ans_earlychildhood,ans_primary,ans_lowrsecndry,ans_upprsecndry,ans_others,ans_notstd,currently_attending_rate,never_attended_rate,currently_attending_rate_male,never_attended_rate_male,currently_attending_rate_female,never_attended_rate_female,currently_attending_rate_gap_pts,never_attended_rate_gap_pts
national,Nepal,,Total,All Ages,9307538,870588,3020749,1710051,937149,11423,21150,11206,606513,707756,628370,12929,8423,751996,162,1175,175,237,66,7420,70.6,8.08,72.74,6.73,68.42,9.45,4.32,-2.72
national,Nepal,,Total,5 Year,568365,479493,0,0,0,489,1633,2279,0,0,0,118,313,80709,96,0,0,0,18,3217,84.74,14.2,84.9,14.06,84.55,14.36,0.35,-0.3
national,Nepal,,Total,6 Year,562745,221332,288314,0,0,444,1286,627,1799,0,0,109,202,47530,37,33,0,0,6,1026,90.87,8.45,91.09,8.25,90.63,8.67,0.46,-0.42
national,Nepal,,Total,7 Year,534278,98930,400068,0,0,382,963,306,2406,0,0,103,142,30431,7,29,0,0,3,508,93.65,5.7,93.88,5.45,93.4,5.96,0.48,-0.51
national,Nepal,,Total,8 Year,599728,45727,515569,0,0,501,1108,166,3650,0,0,132,169,32295,12,36,0,0,3,360,93.86,5.38,94.11,5.13,93.59,5.66,0.52,-0.53
national,Nepal,,Total,9 Year,501311,15146,463742,0,0,343,1107,103,4130,0,0,81,225,16152,2,40,0,0,3,237,95.82,3.22,95.99,3.03,95.63,3.43,0.36,-0.4
national,Nepal,,Total,10 Year,646772,5429,548719,0,0,540,1067,2350,58743,0,0,140,178,29412,1,33,0,0,4,156,85.93,4.55,85.76,4.31,86.12,4.81,-0.36,-0.5
national,Nepal,,Total,11 Year,475016,1492,316922,116727,0,393,600,739,24889,1153,0,74,88,11794,2,23,8,0,0,112,91.81,2.48,91.57,2.34,92.08,2.63,-0.51,-0.29
national,Nepal,,Total,12 Year,638817,1207,269620,312767,0,563,691,708,23805,4123,0,165,126,24838,0,25,30,0,1,148,91.55,3.89,91.47,3.66,91.63,4.13,-0.16,-0.47
national,Nepal,,Total,13 Year,556890,539,125018,392399,0,488,647,410,14952,6098,0,134,91,15933,2,48,26,0,2,103,93.21,2.86,93.18,2.63,93.24,3.1,-0.06,-0.47
national,Nepal,,Total,14 Year,592370,487,69254,362709,111526,537,643,334,16178,8925,2031,217,108,19144,0,132,16,22,4,103,92.03,3.23,91.98,2.91,92.08,3.56,-0.1,-0.65
national,Nepal,,Total,15 Year,561800,267,9155,254549,219370,789,2939,353,28615,15232,5157,259,163,24550,0,230,8,37,2,125,86.7,4.37,86.46,3.94,86.95,4.81,-0.49,-0.87
national,Nepal,,Total,16 Year,463075,212,5516,143124,220821,693,1699,282,28905,24598,9623,394,166,26685,0,196,11,34,1,115,80.35,5.76,80.59,5.05,80.09,6.52,0.5,-1.47
national,Nepal,,Total,17 Year,305637,119,3346,63488,140090,537,1142,171,26132,32817,16304,353,212,20692,0,98,8,25,1,102,68.29,6.77,69.41,5.85,67.05,7.8,2.36,-1.95
national,Nepal,,Total,18 Year,361043,135,3557,47326,117785,643,1016,240,44631,62469,38852,765,461,42922,0,68,5,13,4,151,47.21,11.89,49.95,9.97,44.2,14.01,5.75,-4.04
national,Nepal,,Total,19 Year,211282,72,1892,16945,45848,504,607,189,30005,51180,40469,559,332,22513,0,37,7,15,1,107,31.18,10.66,34.49,8.64,27.82,12.7,6.67,-4.06
national,Nepal,,Total,20 Year,336990,0,11,5,36088,720,1158,319,55908,94949,81587,1552,922,63567,1,35,8,11,0,149,11.27,18.86,13.71,14.54,9.25,22.44,4.46,-7.9
national,Nepal,,Total,21 Year,211365,0,7,3,14456,473,598,228,35374,66761,65138,957,628,26550,0,24,8,10,2,148,7.35,12.56,8.59,9.73,6.24,15.12,2.35,-5.39
national,Nepal,,Total,22 Year,299881,0,16,2,13291,587,628,335,51956,89846,89491,1658,929,50973,0,21,7,10,2,129,4.84,17.0,5.81,13.06,4.03,20.31,1.78,-7.25
national,Nepal,,Total,23 Year,243431,0,5,3,7362,477,413,288,41846,74105,80266,1267,802,36426,0,21,8,17,1,124,3.39,14.96,3.94,10.79,2.97,18.16,0.97,-7.37
national,Nepal,,Total,24 Year,263188,1,10,1,6444,546,457,311,45428,78048,88675,1503,846,40723,2,23,11,18,4,137,2.83,15.47,3.16,11.11,2.58,18.89,0.58,-7.78
national,Nepal,,Total,25 Year,373554,0,8,3,4068,774,748,468,67161,97452,110777,2389,1320,88157,0,23,14,25,4,163,1.5,23.6,1.56,17.0,1.45,28.49,0.11,-11.49
national,Nepal,,Male,All Ages,4690548,472110,1572265,873629,477060,6116,10869,5797,310242,359756,273276,5127,3776,315788,77,588,88,121,39,3824,72.74,6.73,72.74,6.73,68.42,9.45,4.32,-2.72
national,Nepal,,Male,5 Year,299149,252882,0,0,0,247,855,1170,0,0,0,57,164,42049,47,0,0,0,10,1668,84.9,14.06,84.9,14.06,84.55,14.36,0.35,-0.3
national,Nepal,,Male,6 Year,294386,122059,145219,0,0,231,640,331,891,0,0,54,109,24274,22,18,0,0,3,535,91.09,8.25,91.09,8.25,90.63,8.67,0.46,-0.42
national,Nepal,,Male,7 Year,276257,56216,202458,0,0,199,477,171,1252,0,0,44,82,15055,0,13,0,0,2,288,93.88,5.45,93.88,5.45,93.4,5.96,0.48,-0.51
