geo_level,province,district,sex,age_group,population,attending,ever_attended_stopped,never_attended,not_stated,attendance_rate,never_attended_rate,attendance_rate_male,never_attended_rate_male,attendance_rate_female,never_attended_rate_female,attendance_rate_gap_pts,never_attended_rate_gap_pts
district,Bagmati,Bhaktapur,Female,10 Year,2856,2609,221,25,1,91.35,0.88,91.44,0.53,91.35,0.88,0.09,-0.35
district,Bagmati,Bhaktapur,Male,10 Year,3562,3257,286,19,0,91.44,0.53,91.44,0.53,91.35,0.88,0.09,-0.35
district,Bagmati,Bhaktapur,Female,11 Year,2621,2518,81,22,0,96.07,0.84,95.4,0.67,96.07,0.84,-0.67,-0.17
district,Bagmati,Bhaktapur,Male,11 Year,3131,2987,123,21,0,95.4,0.67,95.4,0.67,96.07,0.84,-0.67,-0.17
district,Bagmati,Bhaktapur,Female,12 Year,3070,2959,92,19,0,96.38,0.62,95.95,1.27,96.38,0.62,-0.43,0.65
district,Bagmati,Bhaktapur,Male,12 Year,3454,3314,96,44,0,95.95,1.27,95.95,1.27,96.38,0.62,-0.43,0.65
district,Bagmati,Bhaktapur,Female,13 Year,2908,2823,72,13,0,97.08,0.45,96.55,0.34,97.08,0.45,-0.53,-0.11
district,Bagmati,Bhaktapur,Male,13 Year,3272,3159,102,11,0,96.55,0.34,96.55,0.34,97.08,0.45,-0.53,-0.11
district,Bagmati,Bhaktapur,Female,14 Year,2923,2844,69,10,0,97.3,0.34,95.49,0.75,97.3,0.34,-1.81,0.41
district,Bagmati,Bhaktapur,Male,14 Year,3325,3175,125,25,0,95.49,0.75,95.49,0.75,97.3,0.34,-1.81,0.41
district,Bagmati,Bhaktapur,Female,15 Year,2592,2446,118,27,1,94.37,1.04,92.64,0.84,94.37,1.04,-1.73,-0.2
district,Bagmati,Bhaktapur,Male,15 Year,3085,2858,201,26,0,92.64,0.84,92.64,0.84,94.37,1.04,-1.73,-0.2
district,Bagmati,Bhaktapur,Female,16 Year,1547,1391,132,24,0,89.92,1.55,86.82,1.24,89.92,1.55,-3.1,-0.31
district,Bagmati,Bhaktapur,Male,16 Year,2018,1752,241,25,0,86.82,1.24,86.82,1.24,89.92,1.55,-3.1,-0.31
district,Bagmati,Bhaktapur,Female,17 Year,925,689,205,31,0,74.49,3.35,70.89,2.49,74.49,3.35,-3.6,-0.86
district,Bagmati,Bhaktapur,Male,17 Year,1247,884,332,31,0,70.89,2.49,70.89,2.49,74.49,3.35,-3.6,-0.86
district,Bagmati,Bhaktapur,Female,18 Year,710,351,319,40,0,49.44,5.63,45.56,5.71,49.44,5.63,-3.88,0.08
district,Bagmati,Bhaktapur,Male,18 Year,1069,487,521,61,0,45.56,5.71,45.56,5.71,49.44,5.63,-3.88,0.08
district,Bagmati,Bhaktapur,Female,19 Year,551,143,374,34,0,25.95,6.17,30.91,5.03,25.95,6.17,4.96,-1.14
district,Bagmati,Bhaktapur,Male,19 Year,715,221,458,36,0,30.91,5.03,30.91,5.03,25.95,6.17,4.96,-1.14
district,Bagmati,Bhaktapur,Female,20 Year,700,73,558,69,0,10.43,9.86,9.99,8.29,10.43,9.86,-0.44,-1.57
district,Bagmati,Bhaktapur,Male,20 Year,881,88,720,73,0,9.99,8.29,9.99,8.29,10.43,9.86,-0.44,-1.57
district,Bagmati,Bhaktapur,Female,21 Year,590,30,504,56,0,5.08,9.49,5.69,5.3,5.08,9.49,0.61,-4.19
district,Bagmati,Bhaktapur,Male,21 Year,773,44,688,41,0,5.69,5.3,5.69,5.3,5.08,9.49,0.61,-4.19
district,Bagmati,Bhaktapur,Female,22 Year,808,30,695,83,0,3.71,10.27,4.15,8.31,3.71,10.27,0.44,-1.96
district,Bagmati,Bhaktapur,Male,22 Year,915,38,801,76,0,4.15,8.31,4.15,8.31,3.71,10.27,0.44,-1.96
district,Bagmati,Bhaktapur,Female,23 Year,865,19,775,71,0,2.2,8.21,3.19,6.0,2.2,8.21,0.99,-2.21
district,Bagmati,Bhaktapur,Male,23 Year,816,26,741,49,0,3.19,6.0,3.19,6.0,2.2,8.21,0.99,-2.21
district,Bagmati,Bhaktapur,Female,24 Year,1088,22,940,126,0,2.02,11.58,1.93,6.38,2.02,11.58,-0.09,-5.2
district,Bagmati,Bhaktapur,Male,24 Year,987,19,905,63,0,1.93,6.38,1.93,6.38,2.02,11.58,-0.09,-5.2
district,Bagmati,Bhaktapur,Female,25 Year,1227,11,1082,133,1,0.9,10.84,0.42,7.67,0.9,10.84,-0.48,-3.17
district,Bagmati,Bhaktapur,Male,25 Year,1187,5,1091,91,0,0.42,7.67,0.42,7.67,0.9,10.84,-0.48,-3.17
district,Bagmati,Bhaktapur,Female,5 Year,2663,2556,6,101,0,95.98,3.79,96.15,3.61,95.98,3.79,0.17,-0.18
district,Bagmati,Bhaktapur,Male,5 Year,3328,3200,8,120,0,96.15,3.61,96.15,3.61,95.98,3.79,0.17,-0.18
district,Bagmati,Bhaktapur,Female,6 Year,2883,2833,16,33,1,98.27,1.14,98.04,1.58,98.27,1.14,-0.23,0.44
district,Bagmati,Bhaktapur,Male,6 Year,3363,3297,13,53,0,98.04,1.58,98.04,1.58,98.27,1.14,-0.23,0.44
district,Bagmati,Bhaktapur,Female,7 Year,2721,2686,7,28,0,98.71,1.03,98.77,1.08,98.71,1.03,0.06,0.05
district,Bagmati,Bhaktapur,Male,7 Year,3248,3208,5,35,0,98.77,1.08,98.77,1.08,98.71,1.03,0.06,0.05
district,Bagmati,Bhaktapur,Female,8 Year,2620,2590,7,23,0,98.85,0.88,98.96,0.64,98.85,0.88,0.11,-0.24
district,Bagmati,Bhaktapur,Male,8 Year,3276,3242,12,21,1,98.96,0.64,98.96,0.64,98.85,0.88,0.11,-0.24
district,Bagmati,Bhaktapur,Female,9 Year,2766,2735,11,20,0,98.88,0.72,98.58,0.75,98.88,0.72,-0.3,0.03
district,Bagmati,Bhaktapur,Male,9 Year,3312,3265,22,25,0,98.58,0.75,98.58,0.75,98.88,0.72,-0.3,0.03
district,Bagmati,Bhaktapur,Female,All Ages,39634,32358,6284,988,4,81.64,2.49,82.03,2.01,81.64,2.49,0.39,-0.48
district,Bagmati,Bhaktapur,Male,All Ages,46964,38526,7491,946,1,82.03,2.01,82.03,2.01,81.64,2.49,0.39,-0.48
district,Bagmati,Chitawan,Female,10 Year,5889,5371,438,78,2,91.2,1.32,90.11,1.23,91.2,1.32,-1.09,-0.09
district,Bagmati,Chitawan,Male,10 Year,6825,6150,591,84,0,90.11,1.23,90.11,1.23,91.2,1.32,-1.09,-0.09
district,Bagmati,Chitawan,Female,11 Year,5087,4823,213,51,0,94.81,1.0,93.6,1.49,94.81,1.0,-1.21,0.49
district,Bagmati,Chitawan,Male,11 Year,5778,5408,284,86,0,93.6,1.49,93.6,1.49,94.81,1.0,-1.21,0.49
district,Bagmati,Chitawan,Female,12 Year,5816,5505,224,87,0,94.65,1.5,94.51,1.34,94.65,1.5,-0.14,-0.16
district,Bagmati,Chitawan,Male,12 Year,6486,6130,269,87,0,94.51,1.34,94.51,1.34,94.65,1.5,-0.14,-0.16
district,Bagmati,Chitawan,Female,13 Year,5558,5298,196,64,0,95.32,1.15,94.3,1.3,95.32,1.15,-1.02,0.15
district,Bagmati,Chitawan,Male,13 Year,6136,5786,270,80,0,94.3,1.3,94.3,1.3,95.32,1.15,-1.02,0.15
district,Bagmati,Chitawan,Female,14 Year,5820,5484,272,64,0,94.23,1.1,92.33,1.39,94.23,1.1,-1.9,0.29
district,Bagmati,Chitawan,Male,14 Year,6353,5866,399,88,0,92.33,1.39,92.33,1.39,94.23,1.1,-1.9,0.29
district,Bagmati,Chitawan,Female,15 Year,5122,4664,381,77,0,91.06,1.5,87.92,1.83,91.06,1.5,-3.14,0.33
district,Bagmati,Chitawan,Male,15 Year,6012,5286,616,110,0,87.92,1.83,87.92,1.83,91.06,1.5,-3.14,0.33
district,Bagmati,Chitawan,Female,16 Year,3606,2971,546,89,0,82.39,2.47,78.07,3.07,82.39,2.47,-4.32,0.6
district,Bagmati,Chitawan,Male,16 Year,4424,3454,834,136,0,78.07,3.07,78.07,3.07,82.39,2.47,-4.32,0.6
district,Bagmati,Chitawan,Female,17 Year,2408,1562,739,107,0,64.87,4.44,61.29,3.66,64.87,4.44,-3.58,-0.78
district,Bagmati,Chitawan,Male,17 Year,3056,1873,1071,112,0,61.29,3.66,61.29,3.66,64.87,4.44,-3.58,-0.78
district,Bagmati,Chitawan,Female,18 Year,2414,971,1278,164,1,40.22,6.79,36.44,6.79,40.22,6.79,-3.78,0.0
district,Bagmati,Chitawan,Male,18 Year,3109,1133,1765,211,0,36.44,6.79,36.44,6.79,40.22,6.79,-3.78,0.0
district,Bagmati,Chitawan,Female,19 Year,1897,413,1344,140,0,21.77,7.38,22.28,6.66,21.77,7.38,0.51,-0.72
district,Bagmati,Chitawan,Male,19 Year,2208,492,1569,147,0,22.28,6.66,22.28,6.66,21.77,7.38,0.51,-0.72
district,Bagmati,Chitawan,Female,20 Year,2479,170,2070,239,0,6.86,9.64,5.98,8.24,6.86,9.64,-0.88,-1.4
district,Bagmati,Chitawan,Male,20 Year,2560,153,2196,211,0,5.98,8.24,5.98,8.24,6.86,9.64,-0.88,-1.4
district,Bagmati,Chitawan,Female,21 Year,2023,79,1771,173,0,3.91,8.55,3.92,6.76,3.91,8.55,0.01,-1.79
district,Bagmati,Chitawan,Male,21 Year,2041,80,1822,138,1,3.92,6.76,3.92,6.76,3.91,8.55,0.01,-1.79
district,Bagmati,Chitawan,Female,22 Year,2516,67,2206,243,0,2.66,9.66,2.82,7.99,2.66,9.66,0.16,-1.67
district,Bagmati,Chitawan,Male,22 Year,2554,72,2278,204,0,2.82,7.99,2.82,7.99,2.66,9.66,0.16,-1.67
district,Bagmati,Chitawan,Female,23 Year,2537,43,2251,243,0,1.69,9.58,1.61,7.8,1.69,9.58,-0.08,-1.78
district,Bagmati,Chitawan,Male,23 Year,2294,37,2078,179,0,1.61,7.8,1.61,7.8,1.69,9.58,-0.08,-1.78
district,Bagmati,Chitawan,Female,24 Year,2873,38,2578,257,0,1.32,8.95,1.24,7.36,1.32,8.95,-0.08,-1.59
district,Bagmati,Chitawan,Male,24 Year,2664,33,2435,196,0,1.24,7.36,1.24,7.36,1.32,8.95,-0.08,-1.59
district,Bagmati,Chitawan,Female,25 Year,3549,11,3140,397,1,0.31,11.19,0.4,9.17,0.31,11.19,0.09,-2.02
district,Bagmati,Chitawan,Male,25 Year,3000,12,2713,275,0,0.4,9.17,0.4,9.17,0.31,11.19,0.09,-2.02
district,Bagmati,Chitawan,Female,5 Year,5222,4893,18,301,10,93.7,5.76,93.06,6.42,93.7,5.76,-0.64,0.66
district,Bagmati,Chitawan,Male,5 Year,6120,5695,23,393,9,93.06,6.42,93.06,6.42,93.7,5.76,-0.64,0.66
district,Bagmati,Chitawan,Female,6 Year,5418,5226,21,171,0,96.46,3.16,96.89,2.76,96.46,3.16,0.43,-0.4
district,Bagmati,Chitawan,Male,6 Year,6271,6076,20,173,2,96.89,2.76,96.89,2.76,96.46,3.16,0.43,-0.4
district,Bagmati,Chitawan,Female,7 Year,5207,5079,29,99,0,97.54,1.9,97.43,2.19,97.54,1.9,-0.11,0.29
district,Bagmati,Chitawan,Male,7 Year,6077,5921,23,133,0,97.43,2.19,97.43,2.19,97.54,1.9,-0.11,0.29
district,Bagmati,Chitawan,Female,8 Year,5267,5167,20,80,0,98.1,1.52,97.95,1.48,98.1,1.52,-0.15,-0.04
district,Bagmati,Chitawan,Male,8 Year,6286,6157,36,93,0,97.95,1.48,97.95,1.48,98.1,1.52,-0.15,-0.04
district,Bagmati,Chitawan,Female,9 Year,5358,5248,36,73,1,97.95,1.36,98.28,1.06,97.95,1.36,0.33,-0.3
district,Bagmati,Chitawan,Male,9 Year,6295,6187,40,67,1,98.28,1.06,98.28,1.06,97.95,1.36,0.33,-0.3
district,Bagmati,Chitawan,Female,All Ages,86066,63083,19771,3197,15,73.3,3.71,74.57,3.32,73.3,3.71,1.27,-0.39
district,Bagmati,Chitawan,Male,All Ages,96549,72001,21332,3203,13,74.57,3.32,74.57,3.32,73.3,3.71,1.27,-0.39
district,Bagmati,Dhading,Female,10 Year,3009,2775,210,23,1,92.22,0.76,88.4,1.11,92.22,0.76,-3.82,0.35
