geo_level,province,district,caste,sex,rowtotal,a_readwrite,b_readonly,c_noreadwrite,d_notstd,literacy_rate,literacy_rate_male,literacy_rate_female,literacy_rate_gap_pts
district,Bagmati,Bhaktapur,All caste,Female,200774,164110,411,36250,3,81.73867134,94.1047745,81.73867134,12.37
district,Bagmati,Bhaktapur,All caste,Male,203351,191363,222,11765,1,94.1047745,94.1047745,81.73867134,12.37
district,Bagmati,Bhaktapur,All caste,Total,404125,355473,633,48015,4,87.96115063,94.1047745,81.73867134,12.37
district,Bagmati,Bhaktapur,Amat,Female,6,5,0,1,0,83.33333333,100,83.33333333,16.67
district,Bagmati,Bhaktapur,Amat,Male,15,15,0,0,0,100,100,83.33333333,16.67
district,Bagmati,Bhaktapur,Amat,Total,21,20,0,1,0,95.23809524,100,83.33333333,16.67
district,Bagmati,Bhaktapur,Badhaee/Badhee,Female,34,32,0,2,0,94.11764706,97.14285714,94.11764706,3.03
district,Bagmati,Bhaktapur,Badhaee/Badhee,Male,35,34,0,1,0,97.14285714,97.14285714,94.11764706,3.03
district,Bagmati,Bhaktapur,Badhaee/Badhee,Total,69,66,0,3,0,95.65217391,97.14285714,94.11764706,3.03
district,Bagmati,Bhaktapur,Bahing,Female,37,34,0,3,0,91.89189189,93.33333333,91.89189189,1.44
district,Bagmati,Bhaktapur,Bahing,Male,45,42,0,3,0,93.33333333,93.33333333,91.89189189,1.44
district,Bagmati,Bhaktapur,Bahing,Total,82,76,0,6,0,92.68292683,93.33333333,91.89189189,1.44
district,Bagmati,Bhaktapur,Bangali,Female,8,6,0,2,0,75,100,75,25
district,Bagmati,Bhaktapur,Bangali,Male,12,12,0,0,0,100,100,75,25
district,Bagmati,Bhaktapur,Bangali,Total,20,18,0,2,0,90,100,75,25
district,Bagmati,Bhaktapur,Baniyan,Female,19,17,0,2,0,89.47368421,91.89189189,89.47368421,2.42
district,Bagmati,Bhaktapur,Baniyan,Male,37,34,0,3,0,91.89189189,91.89189189,89.47368421,2.42
district,Bagmati,Bhaktapur,Baniyan,Total,56,51,0,5,0,91.07142857,91.89189189,89.47368421,2.42
district,Bagmati,Bhaktapur,Bantar/Sardar,Female,12,9,0,3,0,75,83.87096774,75,8.87
district,Bagmati,Bhaktapur,Bantar/Sardar,Male,31,26,0,5,0,83.87096774,83.87096774,75,8.87
district,Bagmati,Bhaktapur,Bantar/Sardar,Total,43,35,0,8,0,81.39534884,83.87096774,75,8.87
district,Bagmati,Bhaktapur,Bantawa,Female,21,18,0,3,0,85.71428571,92.30769231,85.71428571,6.59
district,Bagmati,Bhaktapur,Bantawa,Male,13,12,0,1,0,92.30769231,92.30769231,85.71428571,6.59
district,Bagmati,Bhaktapur,Bantawa,Total,34,30,0,4,0,88.23529412,92.30769231,85.71428571,6.59
district,Bagmati,Bhaktapur,Baraee,Female,27,21,0,6,0,77.77777778,94.28571429,77.77777778,16.51
district,Bagmati,Bhaktapur,Baraee,Male,35,33,0,2,0,94.28571429,94.28571429,77.77777778,16.51
district,Bagmati,Bhaktapur,Baraee,Total,62,54,0,8,0,87.09677419,94.28571429,77.77777778,16.51
district,Bagmati,Bhaktapur,Bhote,Female,26,20,0,6,0,76.92307692,90.47619048,76.92307692,13.55
district,Bagmati,Bhaktapur,Bhote,Male,21,19,0,2,0,90.47619048,90.47619048,76.92307692,13.55
district,Bagmati,Bhaktapur,Bhote,Total,47,39,0,8,0,82.9787234,90.47619048,76.92307692,13.55
district,Bagmati,Bhaktapur,Bhumihar,Female,40,35,0,5,0,87.5,93.33333333,87.5,5.83
district,Bagmati,Bhaktapur,Bhumihar,Male,60,56,0,4,0,93.33333333,93.33333333,87.5,5.83
district,Bagmati,Bhaktapur,Bhumihar,Total,100,91,0,9,0,91,93.33333333,87.5,5.83
district,Bagmati,Bhaktapur,Bin,Female,6,4,0,2,0,66.66666667,75,66.66666667,8.33
district,Bagmati,Bhaktapur,Bin,Male,24,18,0,6,0,75,75,66.66666667,8.33
district,Bagmati,Bhaktapur,Bin,Total,30,22,0,8,0,73.33333333,75,66.66666667,8.33
district,Bagmati,Bhaktapur,Bishwokarma,Female,2288,1825,6,457,0,79.76398601,91.17067402,79.76398601,11.41
district,Bagmati,Bhaktapur,Bishwokarma,Male,2537,2313,5,219,0,91.17067402,91.17067402,79.76398601,11.41
district,Bagmati,Bhaktapur,Bishwokarma,Total,4825,4138,11,676,0,85.76165803,91.17067402,79.76398601,11.41
district,Bagmati,Bhaktapur,Bote,Female,8,7,0,1,0,87.5,75,87.5,-12.5
district,Bagmati,Bhaktapur,Bote,Male,4,3,0,1,0,75,75,87.5,-12.5
district,Bagmati,Bhaktapur,Bote,Total,12,10,0,2,0,83.33333333,75,87.5,-12.5
district,Bagmati,Bhaktapur,Brahman - Hill,Female,34425,30278,58,4089,0,87.95352215,97.33994334,87.95352215,9.39
district,Bagmati,Bhaktapur,Brahman - Hill,Male,35300,34361,23,916,0,97.33994334,97.33994334,87.95352215,9.39
district,Bagmati,Bhaktapur,Brahman - Hill,Total,69725,64639,81,5005,0,92.70562926,97.33994334,87.95352215,9.39
district,Bagmati,Bhaktapur,Brahman - Tarai,Female,865,813,0,52,0,93.98843931,97.61904762,93.98843931,3.63
district,Bagmati,Bhaktapur,Brahman - Tarai,Male,1092,1066,0,26,0,97.61904762,97.61904762,93.98843931,3.63
district,Bagmati,Bhaktapur,Brahman - Tarai,Total,1957,1879,0,78,0,96.01430761,97.61904762,93.98843931,3.63
district,Bagmati,Bhaktapur,Chamar/Harijan/Ram,Female,16,12,0,4,0,75,90,75,15
district,Bagmati,Bhaktapur,Chamar/Harijan/Ram,Male,40,36,0,4,0,90,90,75,15
district,Bagmati,Bhaktapur,Chamar/Harijan/Ram,Total,56,48,0,8,0,85.71428571,90,75,15
