Domain_Type,Domain_Value,Future_Schooling_Not_Available,Too_Expensive,Had_To_Help_At_Home,Parents_Did_Not_Want,Satisfied_With_Schooling,Marriage,Poor_Academic_Progress,Started_Working_Got_Job,Others,Total
National,Nepal,0.5,6.7,21.4,3.2,2.7,19.2,28.1,5.4,12.9,100
Province,Koshi,0.8,7.2,17.1,2.5,4.7,17.7,30.1,3,17,100
Province,Madhesh,0.7,7.8,22.8,3.6,2.3,16.6,28.7,3.7,13.9,100
Province,Bagmati,0.1,7.2,21.5,0.9,3.3,11.3,25,13.7,17,100
Province,Gandaki,0.3,2.8,20,1.3,3,29,26.2,5.2,12.2,100
Province,Lumbini,0.3,4.7,24.1,6.6,1.7,17.6,32.1,3.7,9.2,100
Province,Karnali,0.9,4.5,24.1,1,0.5,39.3,22.6,2.2,5,100
Province,Sudurpaschim,0.2,11.2,17.7,3.7,1.4,32.3,24.1,3.2,6.3,100
Province_UrbanRural,Koshi Urban,1.1,9.3,14.2,2.9,5.8,17,26.8,3.8,19.2,100
Province_UrbanRural,Koshi Rural,0.3,4,21.6,1.8,3.1,18.7,35.4,1.7,13.4,100
Province_UrbanRural,Madhesh Urban,0.4,7.9,21.7,3,2.5,16.6,31,2.9,14,100
Province_UrbanRural,Madhesh Rural,1.6,7.4,26.4,5.4,1.8,16.5,21.4,6.2,13.3,100
Province_UrbanRural,Kathmandu Valley Urban (KVU),0,8.7,23.8,0.4,1.9,4.6,21.8,18.4,20.4,100
Province_UrbanRural,Bagmati Urban (Except KVU),0,4.7,14.6,1.4,7.6,24.3,27.7,9.6,10.1,100
Province_UrbanRural,Bagmati Rural,0.5,6.3,25.6,1.6,0.8,12.2,31.5,4.4,17.1,100
Province_UrbanRural,Gandaki Urban,0,3.7,20.2,1.2,4,24.9,26,7.2,12.8,100
Province_UrbanRural,Gandaki Rural,0.7,1.2,19.7,1.5,1.4,36.2,26.6,1.8,11,100
Province_UrbanRural,Lumbini Urban,0.2,5.3,22.1,6.9,2.7,16.6,33.6,3.4,9.3,100
Province_UrbanRural,Lumbini Rural,0.4,3.9,26.9,6.3,0.4,19,30.1,4,9,100
Province_UrbanRural,Karnali Urban,1.7,4.8,20.9,0.2,0.5,43,23.6,3,2.3,100
Province_UrbanRural,Karnali Rural,0,4.2,27.7,1.9,0.6,34.9,21.4,1.3,8,100
Province_UrbanRural,Sudurpaschim Urban,0.4,9.7,19.2,3.9,1.4,31,25.7,2.9,5.8,100
Province_UrbanRural,Sudurpaschim Rural,0,13.5,15.2,3.4,1.4,34.3,21.6,3.6,7.1,100
Urban_Rural_National,Kathmandu Valley Urban (KVU),0,8.7,23.8,0.4,1.9,4.6,21.8,18.4,20.4,100
Urban_Rural_National,Urban Regions (Except KVU),0.5,7,19.5,3.4,3.5,20.4,29.3,4.1,12.3,100
Urban_Rural_National,Rural Regions,0.6,5.5,24.1,3.8,1.4,21.8,27.9,3.6,11.4,100
Consumption_Quintile,Poorest,0.2,8.7,24.9,3.7,1.5,18.7,29,2.3,11,100
Consumption_Quintile,Second,0.6,8.1,23,4.1,2.8,19.2,31.6,2,8.7,100
Consumption_Quintile,Third,0.6,5.4,18.9,3.7,2.5,20.2,27.8,7.3,13.8,100
Consumption_Quintile,Fourth,0.2,5.1,20.7,2.1,3,19.9,26.1,8.8,14,100
Consumption_Quintile,Richest,0.9,4.1,16.1,1.2,5.1,17,22.5,10.8,22.3,100
Poverty_Status,Poor,0.2,9.1,24.7,3.6,1.5,18.6,28.6,2.3,11.5,100
Poverty_Status,Non-poor,0.6,5.8,20.2,3.1,3.1,19.4,27.9,6.6,13.4,100
