Year,Level,Indicator,Province,Girls,Boys,Total,GPI_computed_G_over_B,Source_Table
2077,Basic 1-5,GER,Koshi,119.7,118.2,118.9,1.013,Table 3.16
2077,Basic 1-5,GER,Madhesh,117.5,113.4,115.5,1.036,Table 3.16
2077,Basic 1-5,GER,Bagmati,117.6,117.9,117.8,0.997,Table 3.16
2077,Basic 1-5,GER,Gandaki,108.3,113.1,110.7,0.958,Table 3.16
2077,Basic 1-5,GER,Lumbini,117.3,118.7,118,0.988,Table 3.16
2077,Basic 1-5,GER,Karnali,131,127,129,1.031,Table 3.16
2077,Basic 1-5,GER,Sudurpaschim,123.2,119.5,121.4,1.031,Table 3.16
2077,Basic 1-5,GER,Nepal,118.9,117.6,118.2,1.011,Table 3.16
2077,Basic 1-5,NER,Koshi,96.9,98,97.4,0.989,Table 3.16
2077,Basic 1-5,NER,Madhesh,96.7,97.5,97.1,0.992,Table 3.16
2077,Basic 1-5,NER,Bagmati,96.8,97.7,97.2,0.991,Table 3.16
2077,Basic 1-5,NER,Gandaki,96.9,97.9,97.4,0.99,Table 3.16
2077,Basic 1-5,NER,Lumbini,96.9,98,97.4,0.989,Table 3.16
2077,Basic 1-5,NER,Karnali,97,98.1,97.5,0.989,Table 3.16
2077,Basic 1-5,NER,Sudurpaschim,97.1,98.3,97.7,0.988,Table 3.16
2077,Basic 1-5,NER,Nepal,96.9,97.9,97.4,0.99,Table 3.16
2077,Basic 6-8,GER,Koshi,110.2,107.2,108.7,1.028,Table 3.16
2077,Basic 6-8,GER,Madhesh,94.4,92.9,93.7,1.016,Table 3.16
2077,Basic 6-8,GER,Bagmati,108.9,106.1,107.5,1.026,Table 3.16
2077,Basic 6-8,GER,Gandaki,106.7,104.3,105.5,1.023,Table 3.16
2077,Basic 6-8,GER,Lumbini,103.9,103,103.4,1.009,Table 3.16
2077,Basic 6-8,GER,Karnali,114.3,108.8,111.5,1.051,Table 3.16
2077,Basic 6-8,GER,Sudurpaschim,110.3,107.2,108.7,1.029,Table 3.16
2077,Basic 6-8,GER,Nepal,105.8,103.4,104.6,1.023,Table 3.16
2077,Basic 6-8,NER,Koshi,94,94.9,94.4,0.991,Table 3.16
2077,Basic 6-8,NER,Madhesh,80.3,84.3,82.3,0.953,Table 3.16
2077,Basic 6-8,NER,Bagmati,95,94.9,95,1.001,Table 3.16
2077,Basic 6-8,NER,Gandaki,95.7,95.9,95.8,0.998,Table 3.16
2077,Basic 6-8,NER,Lumbini,90,91.7,90.8,0.981,Table 3.16
2077,Basic 6-8,NER,Karnali,93,94.6,93.8,0.983,Table 3.16
2077,Basic 6-8,NER,Sudurpaschim,94.7,95.3,95,0.994,Table 3.16
2077,Basic 6-8,NER,Nepal,91.8,93.1,92.4,0.986,Table 3.16
2077,Secondary 9-10,GER,Koshi,101.9,95,98.4,1.073,Table 3.40
2077,Secondary 9-10,GER,Madhesh,87.6,90.1,88.9,0.972,Table 3.40
2077,Secondary 9-10,GER,Bagmati,90.6,94.2,92.4,0.962,Table 3.40
2077,Secondary 9-10,GER,Gandaki,98.5,97.8,98.2,1.007,Table 3.40
2077,Secondary 9-10,GER,Lumbini,93.2,89.4,91.2,1.043,Table 3.40
2077,Secondary 9-10,GER,Karnali,123.8,121.3,122.6,1.021,Table 3.40
2077,Secondary 9-10,GER,Sudurpaschim,112.5,109.7,111.1,1.026,Table 3.40
2077,Secondary 9-10,GER,Nepal,97.6,96.2,96.9,1.015,Table 3.40
2077,Secondary 9-10,NER,Koshi,77.4,74.7,76,1.036,Table 3.40
2077,Secondary 9-10,NER,Madhesh,60.1,66,63,0.911,Table 3.40
2077,Secondary 9-10,NER,Bagmati,77.2,73.9,75.5,1.045,Table 3.40
2077,Secondary 9-10,NER,Gandaki,74.8,74.6,74.7,1.003,Table 3.40
2077,Secondary 9-10,NER,Lumbini,68.9,66.4,67.7,1.038,Table 3.40
2077,Secondary 9-10,NER,Karnali,67.9,65.1,66.5,1.043,Table 3.40
2077,Secondary 9-10,NER,Sudurpaschim,72.1,72.3,72.2,0.997,Table 3.40
2077,Secondary 9-10,NER,Nepal,71.2,70.4,70.8,1.011,Table 3.40
2077,Secondary 11-12,GER,Koshi,67.9,64,66,1.061,Table 3.40
2077,Secondary 11-12,GER,Madhesh,63.7,58.7,61.1,1.085,Table 3.40
2077,Secondary 11-12,GER,Bagmati,43,41.6,42.3,1.034,Table 3.40
2077,Secondary 11-12,GER,Gandaki,56.7,50.9,53.9,1.114,Table 3.40
2077,Secondary 11-12,GER,Lumbini,62.4,56.2,59.3,1.11,Table 3.40
2077,Secondary 11-12,GER,Karnali,70.6,62,66.3,1.139,Table 3.40
2077,Secondary 11-12,GER,Sudurpaschim,65.1,57,61.3,1.142,Table 3.40
2077,Secondary 11-12,GER,Nepal,58.6,54,56.3,1.085,Table 3.40
2077,Secondary 11-12,NER,Koshi,33.9,32.5,33.2,1.043,Table 3.40
2077,Secondary 11-12,NER,Madhesh,28.5,28.1,28.3,1.014,Table 3.40
2077,Secondary 11-12,NER,Bagmati,35.7,32.3,34,1.105,Table 3.40
2077,Secondary 11-12,NER,Gandaki,32,30.4,31.2,1.053,Table 3.40
2077,Secondary 11-12,NER,Lumbini,29.9,29.7,29.8,1.007,Table 3.40
2077,Secondary 11-12,NER,Karnali,28,30.9,29.5,0.906,Table 3.40
2077,Secondary 11-12,NER,Sudurpaschim,33.2,36.4,34.8,0.912,Table 3.40
2077,Secondary 11-12,NER,Nepal,31.6,31.5,31.5,1.003,Table 3.40
2078,Basic 1-5,GER,Koshi,117.9,119.65,118.77,0.985,Table 4.9
2078,Basic 1-5,GER,Madhesh,126.9,129.95,128.43,0.977,Table 4.9
2078,Basic 1-5,GER,Bagmati,118.34,119.07,118.71,0.994,Table 4.9
2078,Basic 1-5,GER,Gandaki,115.58,120.57,118.08,0.959,Table 4.9
2078,Basic 1-5,GER,Lumbini,120.65,125.45,123.05,0.962,Table 4.9
2078,Basic 1-5,GER,Karnali,124.23,123.06,123.65,1.01,Table 4.9
2078,Basic 1-5,GER,Sudurpaschim,121,122.7,121.85,0.986,Table 4.9
2078,Basic 1-5,GER,Nepal,120.76,123.08,121.92,0.981,Table 4.9
2078,Basic 1-5,NER,Koshi,96.47,97.34,96.9,0.991,Table 4.9
2078,Basic 1-5,NER,Madhesh,96.43,97.28,96.85,0.991,Table 4.9
2078,Basic 1-5,NER,Bagmati,96.43,97.33,96.88,0.991,Table 4.9
2078,Basic 1-5,NER,Gandaki,96.42,97.46,96.94,0.989,Table 4.9
2078,Basic 1-5,NER,Lumbini,96.41,97.35,96.88,0.99,Table 4.9
2078,Basic 1-5,NER,Karnali,96.38,97.58,96.98,0.988,Table 4.9
2078,Basic 1-5,NER,Sudurpaschim,96.5,97.24,96.87,0.992,Table 4.9
2078,Basic 1-5,NER,Nepal,96.44,97.36,96.9,0.991,Table 4.9
2078,Basic 6-8,GER,Koshi,99.55,101.63,100.59,0.98,Table 4.9
2078,Basic 6-8,GER,Madhesh,109.02,111.43,110.23,0.978,Table 4.9
2078,Basic 6-8,GER,Bagmati,110.66,111.39,111.03,0.993,Table 4.9
2078,Basic 6-8,GER,Gandaki,113.43,113.7,113.57,0.998,Table 4.9
2078,Basic 6-8,GER,Lumbini,115.22,114.12,114.67,1.01,Table 4.9
2078,Basic 6-8,GER,Karnali,115.73,114.3,115.02,1.013,Table 4.9
2078,Basic 6-8,GER,Sudurpaschim,115.56,114.94,115.25,1.005,Table 4.9
2078,Basic 6-8,GER,Nepal,110.42,111,110.71,0.995,Table 4.9
2078,Basic 6-8,NER,Koshi,81.84,84.05,82.95,0.974,Table 4.9
2078,Basic 6-8,NER,Madhesh,89.34,91.32,90.33,0.978,Table 4.9
2078,Basic 6-8,NER,Bagmati,94.96,96.44,95.7,0.985,Table 4.9
2078,Basic 6-8,NER,Gandaki,97.18,96.95,97.07,1.002,Table 4.9
2078,Basic 6-8,NER,Lumbini,98.2,97.35,97.77,1.009,Table 4.9
2078,Basic 6-8,NER,Karnali,98.38,97.23,97.8,1.012,Table 4.9
2078,Basic 6-8,NER,Sudurpaschim,98.22,97.38,97.8,1.009,Table 4.9
2078,Basic 6-8,NER,Nepal,93.02,93.64,93.33,0.993,Table 4.9
2078,Secondary 9-10,GER,Koshi,96.73,93.92,95.32,1.03,Table 5.8
2078,Secondary 9-10,GER,Madhesh,94.49,91.05,92.77,1.038,Table 5.8
2078,Secondary 9-10,GER,Bagmati,95.72,91.53,93.62,1.046,Table 5.8
2078,Secondary 9-10,GER,Gandaki,88.44,92,90.22,0.961,Table 5.8
2078,Secondary 9-10,GER,Lumbini,93.39,94.04,93.71,0.993,Table 5.8
2078,Secondary 9-10,GER,Karnali,108.87,105.58,107.22,1.031,Table 5.8
2078,Secondary 9-10,GER,Sudurpaschim,117.84,120.99,119.41,0.974,Table 5.8
2078,Secondary 9-10,GER,Nepal,98.49,97.21,97.85,1.013,Table 5.8
2078,Secondary 9-10,NER,Koshi,82.46,79.79,81.13,1.033,Table 5.8
2078,Secondary 9-10,NER,Madhesh,66.02,71.15,68.58,0.928,Table 5.8
2078,Secondary 9-10,NER,Bagmati,82.23,78.49,80.36,1.048,Table 5.8
2078,Secondary 9-10,NER,Gandaki,79.72,79.61,79.66,1.001,Table 5.8
2078,Secondary 9-10,NER,Lumbini,74.43,71.66,73.05,1.039,Table 5.8
2078,Secondary 9-10,NER,Karnali,73.52,70.75,72.13,1.039,Table 5.8
2078,Secondary 9-10,NER,Sudurpaschim,77.59,77.64,77.61,0.999,Table 5.8
2078,Secondary 9-10,NER,Nepal,76.48,75.63,76.05,1.011,Table 5.8
2078,Secondary 11-12,GER,Koshi,71.2,62.3,66.7,1.143,Table 5.8
2078,Secondary 11-12,GER,Madhesh,43,38,40.4,1.132,Table 5.8
2078,Secondary 11-12,GER,Bagmati,64.1,63.9,64,1.003,Table 5.8
2078,Secondary 11-12,GER,Gandaki,75.9,74.3,75.1,1.022,Table 5.8
2078,Secondary 11-12,GER,Lumbini,67.7,61.5,64.5,1.101,Table 5.8
2078,Secondary 11-12,GER,Karnali,78.9,74.7,76.9,1.056,Table 5.8
2078,Secondary 11-12,GER,Sudurpaschim,74.8,65.8,70.4,1.137,Table 5.8
2078,Secondary 11-12,GER,Nepal,65.5,60.2,62.8,1.088,Table 5.8
2078,Secondary 11-12,NER,Koshi,35.85,37.29,36.57,0.961,Table 5.8
2078,Secondary 11-12,NER,Madhesh,33.08,35.23,34.15,0.939,Table 5.8
2078,Secondary 11-12,NER,Bagmati,37.97,37.44,37.7,1.014,Table 5.8
2078,Secondary 11-12,NER,Gandaki,34.59,35.72,35.16,0.968,Table 5.8
2078,Secondary 11-12,NER,Lumbini,32.64,35.28,33.96,0.925,Table 5.8
2078,Secondary 11-12,NER,Karnali,32.63,38.75,35.69,0.842,Table 5.8
2078,Secondary 11-12,NER,Sudurpaschim,34.88,40.97,37.93,0.851,Table 5.8
2078,Secondary 11-12,NER,Nepal,34.6,37.1,35.8,0.933,Table 5.8
2079,Basic 1-5,GER,Koshi,119.9,122.3,121.1,0.98,Table 4.10
2079,Basic 1-5,GER,Madhesh,128.1,120.2,124,1.066,Table 4.10
2079,Basic 1-5,GER,Bagmati,132.8,134.6,133.7,0.987,Table 4.10
2079,Basic 1-5,GER,Gandaki,122.5,123.6,123,0.991,Table 4.10
2079,Basic 1-5,GER,Lumbini,132.6,133.9,133.3,0.99,Table 4.10
2079,Basic 1-5,GER,Karnali,147.4,141.1,144.2,1.045,Table 4.10
2079,Basic 1-5,GER,Sudurpaschim,142.2,134.9,138.4,1.054,Table 4.10
2079,Basic 1-5,GER,Nepal,130.6,128.5,129.5,1.016,Table 4.10
2079,Basic 1-5,NER,Koshi,96.2,97.3,96.8,0.989,Table 4.10
2079,Basic 1-5,NER,Madhesh,96.8,98,97.4,0.988,Table 4.10
2079,Basic 1-5,NER,Bagmati,97,97.8,97.4,0.992,Table 4.10
2079,Basic 1-5,NER,Gandaki,95.6,96.9,96.3,0.987,Table 4.10
2079,Basic 1-5,NER,Lumbini,96.9,98.1,97.5,0.988,Table 4.10
2079,Basic 1-5,NER,Karnali,95.4,96.8,96.1,0.986,Table 4.10
2079,Basic 1-5,NER,Sudurpaschim,96.3,97.4,96.8,0.989,Table 4.10
2079,Basic 1-5,NER,Nepal,96.5,97.6,97.1,0.989,Table 4.10
2079,Basic 6-8,GER,Koshi,116.2,110,113,1.056,Table 4.10
2079,Basic 6-8,GER,Madhesh,123.4,112.5,117.6,1.097,Table 4.10
2079,Basic 6-8,GER,Bagmati,115.7,110,112.7,1.052,Table 4.10
2079,Basic 6-8,GER,Gandaki,114.7,109.2,111.7,1.05,Table 4.10
2079,Basic 6-8,GER,Lumbini,119.3,111,114.8,1.075,Table 4.10
2079,Basic 6-8,GER,Karnali,117.8,109.8,113.6,1.073,Table 4.10
2079,Basic 6-8,GER,Sudurpaschim,119.1,110.6,114.7,1.077,Table 4.10
2079,Basic 6-8,GER,Nepal,118.4,110.6,114.3,1.071,Table 4.10
2079,Basic 6-8,NER,Koshi,94,94.5,94.3,0.995,Table 4.10
2079,Basic 6-8,NER,Madhesh,94.4,93.8,94.1,1.006,Table 4.10
2079,Basic 6-8,NER,Bagmati,94,95.1,94.6,0.988,Table 4.10
2079,Basic 6-8,NER,Gandaki,94.2,94.9,94.6,0.993,Table 4.10
2079,Basic 6-8,NER,Lumbini,94.4,94.4,94.4,1,Table 4.10
2079,Basic 6-8,NER,Karnali,94.2,94.4,94.3,0.998,Table 4.10
2079,Basic 6-8,NER,Sudurpaschim,94,94.3,94.1,0.997,Table 4.10
2079,Basic 6-8,NER,Nepal,94.2,94.5,94.3,0.997,Table 4.10
2079,Secondary 9-10,GER,Koshi,96.6,99.4,97.9,0.972,Table 5.8
2079,Secondary 9-10,GER,Madhesh,98.6,100.3,99.5,0.983,Table 5.8
2079,Secondary 9-10,GER,Bagmati,96.1,101.1,98.6,0.951,Table 5.8
2079,Secondary 9-10,GER,Gandaki,96.9,101.3,99.1,0.957,Table 5.8
