Year,Level,Grade,Source_Table,Promotion_Girls,Promotion_Boys,Promotion_Total,Repetition_Girls,Repetition_Boys,Repetition_Total,Dropout_Girls,Dropout_Boys,Dropout_Total
2077,Basic,G1,Table 3.20,85.3,85.1,85.2,11.2,11.3,11.3,3.6,3.6,3.6
2077,Basic,G2,Table 3.20,91.5,89.7,90.6,5.3,6,5.7,3.2,4.3,3.8
2077,Basic,G3,Table 3.20,92.5,91.6,92,4.7,5.2,5,2.8,3.2,3
2077,Basic,G4,Table 3.20,92.9,92.1,92.5,4.1,4.7,4.4,3,3.2,3.1
2077,Basic,G5,Table 3.20,93.6,92.7,93.2,3.8,4,3.9,2.7,3.3,3
2077,Basic,G1-5,Table 3.20,93.6,92.8,93.2,3.2,3.4,3.3,3.2,3.8,3.5
2077,Basic,G6,Table 3.21,94.6,93.1,93.8,2.8,3.5,3.2,2.6,3.4,3
2077,Basic,G7,Table 3.21,94.1,93.3,93.7,3,3.2,3.1,2.9,3.5,3.2
2077,Basic,G8,Table 3.21,92.3,91.9,92.1,3.7,3.5,3.6,4,4.5,4.3
2077,Basic,G6-8,Table 3.21,93.6,92.8,93.2,3.2,3.4,3.3,3.2,3.8,3.5
2077,Secondary,G9,Table 3.41,94.2,93.5,94.2,2.9,2.9,2.9,2.9,3.6,2.9
2077,Secondary,G10,Table 3.41,97.5,97.4,97.5,0.6,0.5,0.6,1.9,2.1,1.9
2077,Secondary,G9-10,Table 3.41,95.7,95.3,95.5,1.8,1.8,1.8,2.4,2.9,2.7
2078,Basic,G1,Table 4.8,81,81.6,81.3,14.7,14,14.4,4.3,4.4,4.4
2078,Basic,G2,Table 4.8,87.2,87.2,87.2,9.9,9.7,9.8,2.9,3.1,3
2078,Basic,G3,Table 4.8,88.5,87.6,88.1,9.2,9.9,9.6,2.3,2.5,2.4
2078,Basic,G4,Table 4.8,92.9,92.4,92.7,4.8,5.1,5,2.3,2.5,2.4
2078,Basic,G5,Table 4.8,93.3,91.9,92.6,4.8,5.9,5.4,1.9,2.2,2.1
2078,Basic,G1-5,Table 4.8,88.6,88.1,88.4,8.7,8.9,8.8,2.7,2.9,2.9
2078,Basic,G6,Table 4.8,96.3,94.6,95.5,1.5,2.6,2.1,2.2,2.8,2.5
2078,Basic,G7,Table 4.8,94.6,94.3,94.5,1.4,1.9,1.7,4,3.8,3.9
2078,Basic,G8,Table 4.8,95,94.5,94.8,1.5,1.6,1.6,3.5,3.9,3.7
2078,Basic,G6-8,Table 4.8,95.3,94.5,94.9,1.5,2,1.8,3.2,3.5,3.4
2078,Basic,G1-8,Table 4.8,91.9,91.3,91.6,5.1,5.5,5.3,3,3.2,3.1
2078,Secondary,G9,Table 5.7,95.2,94.8,95,3.7,3.9,3.8,1.1,1.3,1.2
2078,Secondary,G10,Table 5.7,98.3,98.5,98.4,1.4,1.2,1.3,0.3,0.3,0.3
2078,Secondary,G9-10,Table 5.7,96.7,96.5,96.6,2.6,2.7,2.7,0.7,0.8,0.8
2079,Basic,G1,Table 4.9,80.9,81.8,81.4,10.7,10.6,10.6,3.3,3.9,3.7
2079,Basic,G2,Table 4.9,87.5,87.3,87.4,9.4,9.4,9.4,2.8,2.9,2.9
2079,Basic,G3,Table 4.9,88.8,87.7,88.3,8.7,9.6,9.2,2.2,2.3,2.3
2079,Basic,G4,Table 4.9,93.2,92.5,92.9,4.3,4.8,4.6,2.2,2.3,2.3
2079,Basic,G5,Table 4.9,93.6,92,92.8,4.3,5.6,5,1.8,2,1.9
2079,Basic,G1-5,Table 4.9,88.8,88.3,88.6,7.5,8,7.8,2.5,2.7,2.6
2079,Basic,G6,Table 4.9,96.6,94.7,95.7,1,2.3,1.7,2.1,2.6,2.4
2079,Basic,G7,Table 4.9,94.9,94.4,94.7,0.9,1.6,1.3,3.9,3.6,3.8
2079,Basic,G8,Table 4.9,95.3,94.6,95,1,1.3,1.2,3.4,3.7,3.6
2079,Basic,G6-8,Table 4.9,95.6,94.6,95.1,1,1.7,1.4,3.1,3.3,3.2
2079,Basic,G1-8,Table 4.9,91.4,90.6,91,5,5.7,5.4,2.7,2.9,2.9
2079,Secondary,G9,Table 5.7,95.1,94.7,94.9,3.1,3.8,3.5,1.1,1.2,1.2
2079,Secondary,G10,Table 5.7,98.3,98.4,98.4,1.1,0.9,1,0.3,0.3,0.3
2079,Secondary,G9-10,Table 5.7,96.7,96.6,96.6,2.1,2.4,2.2,0.7,0.8,0.7
2080,Basic,G1,Table 4.9,81,81.5,81.3,11.5,10.8,11.1,3.7,4,3.8
2080,Basic,G2,Table 4.9,84.6,84.8,84.7,8.3,7.8,8,3.5,3.6,3.6
2080,Basic,G3,Table 4.9,86.7,86.8,86.7,7.1,6.5,6.8,3,3.2,3.1
2080,Basic,G4,Table 4.9,87.8,87.2,87.5,6,6.1,6,2.9,3.2,3.1
2080,Basic,G5,Table 4.9,89.7,89.1,89.4,5.1,5.1,5.1,2.3,2.6,2.5
2080,Basic,G1-5,Table 4.9,83.9,83.8,83.8,8.9,8.5,8.7,3.1,3.3,3.2
2080,Basic,G6,Table 4.9,88,86.9,87.5,4.4,5.1,4.7,2.5,2.9,2.7
2080,Basic,G7,Table 4.9,90.8,89.1,89.9,3.9,4.6,4.3,2.6,3.1,2.9
2080,Basic,G8,Table 4.9,87.9,86.6,87.3,6.5,6.5,6.5,2.6,3.1,2.8
