province,district,literacy_rate,literacy_rate_male,literacy_rate_female,literacy_rate_gap_pts,attendance_rate,attendance_rate_male,attendance_rate_female,attendance_rate_gap_pts,never_attended_rate,never_attended_rate_gap_pts
Koshi,Taplejung,82.21,88.18,76.16,12.02,68.87,68.87,70.59,-1.72,2.78,0.13
Koshi,Sankhuwasabha,79.7,86.4,72.94,13.46,71.89,71.89,71.92,-0.03,2.75,-0.21
Koshi,Solukhumbu,76.95,84.31,69.52,14.79,73.65,73.65,75.07,-1.42,2.68,-0.45
Koshi,Okhaldhunga,73.89,81.6,66.6,15,73.5,73.5,73.77,-0.27,3.14,-0.66
Koshi,Khotang,75.99,83.64,68.56,15.08,72.08,72.08,72.91,-0.83,3.39,-0.06
Koshi,Bhojpur,78.87,86.09,71.84,14.25,69.66,69.66,70.56,-0.9,2.26,-0.2
Koshi,Dhankuta,81.36,88.18,74.85,13.33,72.1,72.1,73.01,-0.91,1.69,-0.07
Koshi,Terhathum,81.94,89.25,74.96,14.29,73.57,73.57,73.75,-0.18,2.2,0.1
Koshi,Panchthar,82.29,88.68,76,12.68,69.88,69.88,72.3,-2.42,1.86,0.16
Koshi,Ilam,83.37,88.66,78.13,10.53,70.62,70.62,71.25,-0.63,1.82,0.02
Koshi,Jhapa,82.83,88.57,77.62,10.95,76.89,76.89,73.91,2.98,2.62,-0.81
Koshi,Morang,78.61,85.1,72.56,12.54,72.92,72.92,69.08,3.84,5.57,-2.21
Koshi,Sunsari,78.1,84.62,72.06,12.56,71.42,71.42,66.84,4.58,6.98,-2.31
Koshi,Udayapur,77.17,84.07,70.87,13.2,71.49,71.49,69.95,1.54,3.64,-0.64
Madhesh,Saptari,67.69,78.19,57.49,20.7,69.89,69.89,61.55,8.34,11.07,-6.39
Madhesh,Siraha,65.11,74.81,55.99,18.82,70.73,70.73,60.43,10.3,13.55,-6.35
Madhesh,Dhanusha,65.22,74.58,56.31,18.27,70.08,70.08,58.69,11.39,13.87,-6.97
Madhesh,Mahottari,59.77,68.37,51.55,16.82,65.35,65.35,57.52,7.83,18.74,-7.07
Madhesh,Sarlahi,60.31,68.23,52.34,15.89,62.92,62.92,56.94,5.98,20.09,-7.46
Madhesh,Rautahat,57.75,66.02,49.48,16.54,59.73,59.73,53.69,6.04,22.62,-8.23
Madhesh,Bara,64.54,73.14,55.63,17.51,62.81,62.81,59.3,3.51,15.15,-6.2
Madhesh,Parsa,69.12,77.72,59.98,17.74,65.94,65.94,62.34,3.6,11.21,-5.51
Bagmati,Dolakha,72.31,81.07,64.16,16.91,76.01,76.01,76.16,-0.15,2.42,-0.34
Bagmati,Sindhupalchok,68.04,75.26,61.13,14.13,71.72,71.72,72.97,-1.25,3.95,-0.68
Bagmati,Rasuwa,69.6,76.19,62.59,13.6,70.22,70.22,72.14,-1.92,3.52,-1.23
Bagmati,Dhading,72.4,79.27,65.92,13.35,73.25,73.25,73.11,0.14,2.96,-0.71
Bagmati,Nuwakot,69.07,76.9,61.64,15.26,72.14,72.14,72.89,-0.75,3.28,-0.77
Bagmati,Kathmandu,89.23,94.19,84.16,10.03,82.52,82.52,82.19,0.33,2.49,-0.46
Bagmati,Bhaktapur,87.96,94.1,81.74,12.36,82.03,82.03,81.64,0.39,2.01,-0.48
Bagmati,Lalitpur,88.08,93.41,82.75,10.66,79.99,79.99,80.67,-0.68,2.45,-0.39
Bagmati,Kabhrepalanchok,75.68,84.14,67.6,16.54,75.13,75.13,75.56,-0.43,2.72,-0.56
Bagmati,Ramechhap,68.12,77.87,59.41,18.46,73.37,73.37,73.5,-0.13,2.87,-0.49
Bagmati,Sindhuli,72.59,80.03,65.5,14.53,70.07,70.07,69.88,0.19,4.33,-1.53
Bagmati,Makawanpur,77.82,84,71.63,12.37,64.14,64.14,66.7,-2.56,4.39,-0.71
Bagmati,Chitawan,83.68,88.91,78.74,10.17,74.57,74.57,73.3,1.27,3.32,-0.39
Gandaki,Gorkha,72.37,80.53,65.22,15.31,78.76,78.76,75.5,3.26,2.27,-0.72
Gandaki,Manang,78.36,86.74,67.34,19.4,69.72,69.72,76.78,-7.06,2.03,0.19
Gandaki,Mustang,75.05,83.51,64.66,18.85,75.03,75.03,75.35,-0.32,2.41,-1.63
Gandaki,Myagdi,79.7,87.71,72.18,15.53,78.14,78.14,77.89,0.25,1.43,-0.2
Gandaki,Kaski,87.73,93.41,82.39,11.02,80.74,80.74,79.59,1.15,1.6,-0.04
Gandaki,Lamjung,77.49,85.64,70.23,15.41,79.92,79.92,77.9,2.02,1.95,0.04
Gandaki,Tanahu,81.6,89.02,75.21,13.81,77.78,77.78,73.83,3.95,1.55,-0.07
Gandaki,Nawalparasi East,82.35,88.71,76.82,11.89,77.93,77.93,73.48,4.45,1.75,-0.24
Gandaki,Syangja,81.67,89.81,74.84,14.97,82.16,82.16,77.72,4.44,1.29,-0.2
Gandaki,Parbat,80.12,88.14,73.11,15.03,82.07,82.07,78.68,3.39,1.91,-0.33
Gandaki,Baglung,79.97,87.27,73.74,13.53,80.68,80.68,74.92,5.76,1.88,-0.51
Lumbini,Rukum East,71.35,79.66,63.67,15.99,74.13,74.13,71.21,2.92,3.44,-1.66
Lumbini,Rolpa,75.63,83.99,68.45,15.54,71.65,71.65,67.92,3.73,2.6,-1.26
Lumbini,Pyuthan,80.13,87.88,74,13.88,76.34,76.34,68.54,7.8,2.14,-0.84
Lumbini,Gulmi,80.34,88.01,74.11,13.9,80.38,80.38,72.85,7.53,1.75,-0.08
Lumbini,Arghakhanchi,80.05,87.75,73.8,13.95,80.36,80.36,71.54,8.82,1.93,-0.13
Lumbini,Palpa,83.67,90.51,77.97,12.54,77.6,77.6,72.39,5.21,1.37,0.02
Lumbini,Nawalparasi West,77.97,86.27,70.21,16.06,72.11,72.11,68.38,3.73,3,-1.59
Lumbini,Rupandehi,81.23,88.36,74.45,13.91,73.58,73.58,69.09,4.49,3.74,-2.26
